# EM Convergence Results
# Aitken acceleration: enabled
# Aitken damping: 0.8
# Converged: no
# Total iterations: 100
# Total time (ms): 139258.40
# Final LL: -1756685.0801854825

=== Iteration Data ===
Iter	LL	Aitken_LL_Est	Time_ms
1	-1760669.1617919789	-1760669.1617919789	1402.6739
2	-1760632.4855395874	-1760632.4855395874	1405.6652
3	-1760595.6976405082	-1772717.4143236578	1427.3396
4	-1760558.7988366561	-1772835.2923702961	1428.0706
5	-1760521.7900936380	-1772980.0168405040	1432.7080
6	-1760484.6723431151	-1773123.5030988965	1426.4906
7	-1760447.4466472485	-1773284.9844705316	1415.8804
8	-1760410.1139948745	-1773440.8960229931	1389.8634
9	-1760372.6754477422	-1773608.8812147232	1387.8552
10	-1760335.1321478665	-1773790.6209496316	1387.4911
11	-1760297.4851041932	-1773959.0237182304	1391.1371
12	-1760259.7354788436	-1774151.4388028833	1387.2331
13	-1760221.8844738423	-1774353.8977262736	1387.8582
14	-1760183.9332130048	-1774550.1611832082	1391.0489
15	-1760145.8828332857	-1774752.9019301254	1388.4751
16	-1760107.7347133781	-1774996.9944458134	1387.8093
17	-1760069.4900387106	-1775217.9419854647	1390.2818
18	-1760031.1500013471	-1775445.5470893623	1390.5395
19	-1759992.7159462953	-1775704.4039939307	1390.6977
20	-1759954.1892644684	-1775978.7697402609	1387.3376
21	-1759915.5712188776	-1776238.8199726031	1385.4857
22	-1759876.8631819680	-1776526.3816247617	1389.5392
23	-1759838.0665618095	-1776829.7411098517	1395.0872
24	-1759799.1827568216	-1777141.0792847094	1395.1230
25	-1759760.2132570047	-1777481.4915845729	1395.5313
26	-1759721.1594467333	-1777811.4437996179	1396.2659
27	-1759682.0228397583	-1778181.2376597594	1399.1014
28	-1759642.8049273044	-1778559.6685561840	1395.4218
29	-1759603.5073254323	-1778982.5108093380	1396.5174
30	-1759564.1314523183	-1779372.9315514578	1400.1035
31	-1759524.6789755928	-1779843.5371859805	1400.1356
32	-1759485.1514452093	-1780302.5998907802	1401.0978
33	-1759445.5504985349	-1780806.4086992857	1401.6485
34	-1759405.8777927167	-1781339.2998295471	1399.1661
35	-1759366.1349421875	-1781883.7865836376	1402.0758
36	-1759326.3236254356	-1782475.5624916675	1399.4897
37	-1759286.4455884390	-1783121.1578511340	1400.2663
38	-1759246.5025407905	-1783787.8201201956	1400.5346
39	-1759206.4962800161	-1784525.6191808893	1401.5711
40	-1759166.4283952625	-1785218.5497498380	1404.7868
41	-1759126.3008386181	-1786110.8790655511	1405.6457
42	-1759086.1153278097	-1786950.8133542468	1404.6565
43	-1759045.8737680190	-1787938.1581167378	1401.7924
44	-1759005.5778947219	-1788901.5929092166	1404.5331
45	-1758965.2296179826	-1790031.5750852353	1405.7064
46	-1758924.8308079187	-1791221.6144424069	1401.3788
47	-1758884.3833461148	-1792511.0772299028	1401.8918
48	-1758843.8891132593	-1793903.6715777516	1401.2363
49	-1758803.3501619622	-1795553.4361483501	1402.8124
50	-1758762.7682488153	-1797096.5849056477	1404.1876
51	-1758722.1454745326	-1799107.9486964871	1405.3409
52	-1758681.4837395083	-1801118.4761397177	1403.7806
53	-1758640.7850639939	-1803479.9894943736	1405.8519
54	-1758600.0513928609	-1806012.6142979504	1406.0828
55	-1758559.2848797445	-1809162.4584814857	1408.2659
56	-1758518.4874266759	-1812314.0513018742	1411.4569
57	-1758477.6610684798	-1816141.8774803558	1412.9544
58	-1758436.8079457905	-1820794.7095440400	1410.4178
59	-1758395.9300450124	-1825834.6573152542	1417.1178
60	-1758355.0295260518	-1832315.5457400973	1415.3736
