# EM Convergence Results
# Aitken acceleration: enabled
# Aitken damping: 0.8
# Converged: yes
# Total iterations: 20
# Total time (ms): 24553.78
# Final LL: -24922004.8328171894

=== Iteration Data ===
Iter	LL	Aitken_LL_Est	Time_ms
1	-25075245.8440186866	-25075245.8440186866	1213.2859
2	-24931705.3825929128	-24931705.3825929128	1241.7333
3	-24924580.5610262416	-24924208.4403338544	1261.2333
4	-24922180.6329265274	-24920961.6308635026	1239.6576
5	-24922056.5934017673	-24922049.8330516033	1215.0132
6	-24922022.8829780072	-24922010.3023959175	1249.5033
7	-24922006.9502734840	-24921992.6711035855	1222.9224
8	-24922005.5520482585	-24922005.4175381921	1263.9430
9	-24922005.1160412394	-24922004.9184747003	1235.4499
10	-24922004.7226800807	-24922001.0943560302	1235.4328
11	-24922004.7707911283	-24922004.7655480504	1211.5460
12	-24922004.7939511351	-24922004.8154486716	1205.2067
13	-24922004.8310548589	-24922004.7323231995	1203.8743
14	-24922004.8307345062	-24922004.8307372481	1209.0490
15	-24922004.8311368227	-24922004.8309128508	1211.6017
16	-24922004.8323198706	-24922004.8305271901	1204.6876
17	-24922004.8325314820	-24922004.8325775787	1237.7211
18	-24922004.8326418512	-24922004.8327621706	1209.9891
19	-24922004.8328142725	-24922004.8323351741	1232.3135
20	-24922004.8328171894	-24922004.8328172378	1248.8579

=== Aitken Acceleration Events ===
Iter	Lambda	Accel_Factor	Applied
3	0.31880617	1.17440875	yes
6	0.56102168	1.82241348	yes
9	0.51393182	1.64585965	yes
12	0.53659779	1.72636206	yes
15	0.51519286	1.65014072	yes
18	0.51689178	1.65594368	yes
