# EM Convergence Results
# Aitken acceleration: enabled
# Aitken damping: 0.8
# Converged: yes
# Total iterations: 20
# Total time (ms): 24370.63
# Final LL: -24922004.8328171894

=== Iteration Data ===
Iter	LL	Aitken_LL_Est	Time_ms
1	-25075245.8440186866	-25075245.8440186866	1216.6061
2	-24931705.3825929128	-24931705.3825929128	1222.5671
3	-24924580.5610262416	-24924208.4403338544	1219.6504
4	-24922180.6329265274	-24920961.6308635026	1218.9947
5	-24922056.5934017561	-24922049.8330515884	1257.0100
6	-24922022.8829780072	-24922010.3023959287	1223.0641
7	-24922006.9502734914	-24921992.6711036004	1214.8400
8	-24922005.5520482659	-24922005.4175381996	1211.7154
9	-24922005.1160412394	-24922004.9184746929	1233.4363
10	-24922004.7226800881	-24922001.0943574421	1235.3390
11	-24922004.7707911208	-24922004.7655480467	1231.8528
12	-24922004.7939511389	-24922004.8154487200	1213.5892
13	-24922004.8310548514	-24922004.7323230915	1222.3881
14	-24922004.8307345062	-24922004.8307372481	1215.1394
15	-24922004.8311368264	-24922004.8309128471	1212.8671
16	-24922004.8323198780	-24922004.8305271864	1203.9493
17	-24922004.8325314820	-24922004.8325775750	1204.0443
18	-24922004.8326418512	-24922004.8327621780	1205.5342
19	-24922004.8328142650	-24922004.8323351517	1203.4868
20	-24922004.8328171894	-24922004.8328172415	1203.8525

=== Aitken Acceleration Events ===
Iter	Lambda	Accel_Factor	Applied
3	0.31880617	1.17440875	yes
6	0.56102168	1.82241348	yes
9	0.51393182	1.64585965	yes
12	0.53659779	1.72636206	yes
15	0.51519286	1.65014072	yes
18	0.51689179	1.65594370	yes
