# EM Convergence Results
# Aitken acceleration: enabled
# Aitken damping: 0.8
# Converged: yes
# Total iterations: 20
# Total time (ms): 24217.22
# Final LL: -24922004.8328171931

=== Iteration Data ===
Iter	LL	Aitken_LL_Est	Time_ms
1	-25075245.8440186866	-25075245.8440186866	1211.8726
2	-24931705.3825929128	-24931705.3825929128	1231.9606
3	-24924580.5610262454	-24924208.4403338581	1210.3456
4	-24922180.6329265274	-24920961.6308634952	1205.8119
5	-24922056.5934017599	-24922049.8330515958	1205.5514
6	-24922022.8829780146	-24922010.3023959398	1208.8800
7	-24922006.9502734914	-24921992.6711035781	1209.8887
8	-24922005.5520482585	-24922005.4175381884	1211.4493
9	-24922005.1160412431	-24922004.9184747115	1212.7919
10	-24922004.7226800807	-24922001.0943553299	1209.9320
11	-24922004.7707911283	-24922004.7655480504	1207.9861
12	-24922004.7939511389	-24922004.8154486865	1217.7569
13	-24922004.8310548589	-24922004.7323231660	1212.7674
14	-24922004.8307345025	-24922004.8307372443	1207.0410
15	-24922004.8311368302	-24922004.8309128508	1209.9243
16	-24922004.8323198743	-24922004.8305271715	1206.2394
17	-24922004.8325314857	-24922004.8325775824	1206.7496
18	-24922004.8326418437	-24922004.8327621259	1205.6536
19	-24922004.8328142613	-24922004.8323352411	1205.6235
20	-24922004.8328171931	-24922004.8328172453	1218.3164

=== Aitken Acceleration Events ===
Iter	Lambda	Accel_Factor	Applied
3	0.31880617	1.17440875	yes
6	0.56102168	1.82241348	yes
9	0.51393182	1.64585965	yes
12	0.53659779	1.72636206	yes
15	0.51519286	1.65014072	yes
18	0.51689179	1.65594370	yes
