# EM Convergence Results
# Aitken acceleration: enabled
# Aitken damping: 0.8
# Converged: yes
# Total iterations: 20
# Total time (ms): 24224.47
# Final LL: -24922004.8328171894

=== Iteration Data ===
Iter	LL	Aitken_LL_Est	Time_ms
1	-25075245.8440186866	-25075245.8440186866	1213.4947
2	-24931705.3825929128	-24931705.3825929128	1213.8373
3	-24924580.5610262416	-24924208.4403338544	1210.8581
4	-24922180.6329265200	-24920961.6308634840	1212.3736
5	-24922056.5934017636	-24922049.8330515996	1212.5999
6	-24922022.8829780146	-24922010.3023959361	1214.4279
7	-24922006.9502734803	-24921992.6711035408	1208.9028
8	-24922005.5520482622	-24922005.4175381958	1205.7789
9	-24922005.1160412394	-24922004.9184746966	1206.9703
10	-24922004.7226800807	-24922001.0943563469	1206.0391
11	-24922004.7707911320	-24922004.7655480541	1209.3729
12	-24922004.7939511389	-24922004.8154486716	1215.3349
13	-24922004.8310548589	-24922004.7323231921	1210.5753
14	-24922004.8307345025	-24922004.8307372443	1209.8286
15	-24922004.8311368302	-24922004.8309128508	1209.0645
16	-24922004.8323198743	-24922004.8305271715	1209.9008
17	-24922004.8325314857	-24922004.8325775824	1212.4024
18	-24922004.8326418512	-24922004.8327621557	1216.4240
19	-24922004.8328142650	-24922004.8323351778	1211.4755
20	-24922004.8328171894	-24922004.8328172415	1214.0952

=== Aitken Acceleration Events ===
Iter	Lambda	Accel_Factor	Applied
3	0.31880617	1.17440875	yes
6	0.56102168	1.82241348	yes
9	0.51393182	1.64585965	yes
12	0.53659779	1.72636206	yes
15	0.51519286	1.65014072	yes
18	0.51689178	1.65594369	yes
