# EM Convergence Results
# Aitken acceleration: enabled
# Aitken damping: 0.8
# Converged: yes
# Total iterations: 20
# Total time (ms): 24077.18
# Final LL: -24922004.8328171894

=== Iteration Data ===
Iter	LL	Aitken_LL_Est	Time_ms
1	-25075245.8440186866	-25075245.8440186866	1205.0266
2	-24931705.3825929128	-24931705.3825929128	1203.5843
3	-24924580.5610262416	-24924208.4403338544	1203.9835
4	-24922180.6329265237	-24920961.6308634914	1203.5618
5	-24922056.5934017561	-24922049.8330515921	1203.5599
6	-24922022.8829780072	-24922010.3023959287	1204.2568
7	-24922006.9502734952	-24921992.6711036153	1203.7451
8	-24922005.5520482622	-24922005.4175381921	1203.9854
9	-24922005.1160412394	-24922004.9184746966	1203.5949
10	-24922004.7226800770	-24922001.0943559594	1203.6417
11	-24922004.7707911283	-24922004.7655480504	1203.6053
12	-24922004.7939511351	-24922004.8154486679	1203.8261
13	-24922004.8310548626	-24922004.7323232107	1203.9265
14	-24922004.8307345025	-24922004.8307372443	1203.4747
15	-24922004.8311368302	-24922004.8309128508	1203.5857
16	-24922004.8323198743	-24922004.8305271715	1203.4898
17	-24922004.8325314820	-24922004.8325775750	1204.0476
18	-24922004.8326418437	-24922004.8327621408	1204.5109
19	-24922004.8328142650	-24922004.8323352225	1203.6713
20	-24922004.8328171894	-24922004.8328172415	1203.5260

=== Aitken Acceleration Events ===
Iter	Lambda	Accel_Factor	Applied
3	0.31880617	1.17440875	yes
6	0.56102168	1.82241348	yes
9	0.51393182	1.64585965	yes
12	0.53659779	1.72636206	yes
15	0.51519286	1.65014072	yes
18	0.51689179	1.65594370	yes
