# EM Convergence Results
# Aitken acceleration: enabled
# Aitken damping: 0.8
# Converged: yes
# Total iterations: 20
# Total time (ms): 24483.97
# Final LL: -24922004.8328171894

=== Iteration Data ===
Iter	LL	Aitken_LL_Est	Time_ms
1	-25075245.8440186866	-25075245.8440186866	1304.0326
2	-24931705.3825929128	-24931705.3825929128	1244.3683
3	-24924580.5610262454	-24924208.4403338581	1206.3324
4	-24922180.6329265237	-24920961.6308634877	1207.6539
5	-24922056.5934017636	-24922049.8330515996	1204.0867
6	-24922022.8829780072	-24922010.3023959212	1223.9719
7	-24922006.9502734877	-24921992.6711035930	1233.2853
8	-24922005.5520482622	-24922005.4175381958	1203.9762
9	-24922005.1160412431	-24922004.9184747040	1206.0603
10	-24922004.7226800844	-24922001.0943560340	1204.0267
11	-24922004.7707911283	-24922004.7655480504	1222.1058
12	-24922004.7939511314	-24922004.8154486604	1203.5875
13	-24922004.8310548589	-24922004.7323232330	1219.6777
14	-24922004.8307345025	-24922004.8307372443	1287.4306
15	-24922004.8311368302	-24922004.8309128508	1276.6573
16	-24922004.8323198669	-24922004.8305271678	1213.5285
17	-24922004.8325314820	-24922004.8325775787	1207.9269
18	-24922004.8326418437	-24922004.8327621333	1203.6202
19	-24922004.8328142650	-24922004.8323352225	1204.2238
20	-24922004.8328171894	-24922004.8328172415	1206.5577

=== Aitken Acceleration Events ===
Iter	Lambda	Accel_Factor	Applied
3	0.31880617	1.17440875	yes
6	0.56102168	1.82241348	yes
9	0.51393182	1.64585965	yes
12	0.53659779	1.72636206	yes
15	0.51519286	1.65014072	yes
18	0.51689179	1.65594370	yes
