# EM Convergence Results
# Aitken acceleration: enabled
# Aitken damping: 0.8
# Converged: yes
# Total iterations: 20
# Total time (ms): 24257.81
# Final LL: -24922004.8328171894

=== Iteration Data ===
Iter	LL	Aitken_LL_Est	Time_ms
1	-25075245.8440186866	-25075245.8440186866	1226.9967
2	-24931705.3825929128	-24931705.3825929128	1228.5647
3	-24924580.5610262491	-24924208.4403338619	1208.4275
4	-24922180.6329265274	-24920961.6308634914	1213.0684
5	-24922056.5934017636	-24922049.8330515996	1211.6914
6	-24922022.8829780072	-24922010.3023959212	1211.6493
7	-24922006.9502734840	-24921992.6711035818	1205.7435
8	-24922005.5520482585	-24922005.4175381921	1209.0677
9	-24922005.1160412394	-24922004.9184747003	1214.1219
10	-24922004.7226800770	-24922001.0943556428	1212.6910
11	-24922004.7707911320	-24922004.7655480541	1212.8501
12	-24922004.7939511389	-24922004.8154486679	1211.9535
13	-24922004.8310548589	-24922004.7323231921	1211.0360
14	-24922004.8307345025	-24922004.8307372443	1214.8012
15	-24922004.8311368376	-24922004.8309128508	1211.9564
16	-24922004.8323198706	-24922004.8305271566	1210.4176
17	-24922004.8325314783	-24922004.8325775750	1213.9803
18	-24922004.8326418474	-24922004.8327621706	1212.2251
19	-24922004.8328142688	-24922004.8323351704	1205.3811
20	-24922004.8328171894	-24922004.8328172415	1210.5492

=== Aitken Acceleration Events ===
Iter	Lambda	Accel_Factor	Applied
3	0.31880617	1.17440875	yes
6	0.56102168	1.82241348	yes
9	0.51393182	1.64585965	yes
12	0.53659779	1.72636206	yes
15	0.51519286	1.65014072	yes
18	0.51689179	1.65594369	yes
