# EM Convergence Results
# Aitken acceleration: enabled
# Aitken damping: 0.8
# Converged: yes
# Total iterations: 17
# Total time (ms): 21930.15
# Final LL: -24921984.5328086764

=== Iteration Data ===
Iter	LL	Aitken_LL_Est	Time_ms
1	-25075245.8440186940	-25075245.8440186940	1291.1949
2	-24931755.5606291592	-24931755.5606291592	1288.6238
3	-24924706.7941584252	-24924342.6446687318	1290.6677
4	-24922220.8886338733	-24920866.5352249295	1288.8093
5	-24922069.3907122612	-24922059.5588301942	1288.3698
6	-24922022.7391851321	-24922001.9815330058	1290.7967
7	-24921985.5832203329	-24921840.1925976202	1288.0120
8	-24921984.8823108152	-24921984.8688346557	1290.4797
9	-24921984.6839971319	-24921984.6057467498	1289.0060
10	-24921984.5412560925	-24921984.1746187881	1290.3493
11	-24921984.5396276526	-24921984.5396088623	1289.0686
12	-24921984.5374782346	-24921984.5463461652	1303.1296
13	-24921984.5334980302	-24921984.5421511568	1289.4087
14	-24921984.5330743939	-24921984.5330239311	1290.9766
15	-24921984.5329458974	-24921984.5328899547	1296.8375
16	-24921984.5328060538	-24921984.5345294923	1285.8372
17	-24921984.5328086764	-24921984.5328086279	1278.0827

=== Aitken Acceleration Events ===
Iter	Lambda	Accel_Factor	Applied
3	0.31607725	1.16972275	yes
6	0.56392159	1.83453246	yes
9	0.50793472	1.62580053	yes
12	0.53653664	1.72613431	yes
15	0.51466619	1.64835004	yes
