Trial	Iterations	Final_LL	Time_ms
1	20	-24922004.8328171894	24115.43
2	20	-24922004.8328171931	24087.35
3	20	-24922004.8328171894	24081.31
4	20	-24922004.8328171894	24077.18
5	20	-24922004.8328171931	24078.19
6	20	-24922004.8328171894	24076.52
7	20	-24922004.8328171931	24120.23
8	20	-24922004.8328171931	24187.14
9	20	-24922004.8328171894	24224.47
10	20	-24922004.8328171931	24217.22
11	20	-24922004.8328171894	24257.81
12	20	-24922004.8328171857	24384.14
13	20	-24922004.8328171894	24553.78
14	20	-24922004.8328171894	24483.97
15	20	-24922004.8328171894	24242.12
16	20	-24922004.8328171857	24993.36
17	20	-24922004.8328171894	25805.90
18	20	-24922004.8328171894	24370.63
19	20	-24922004.8328171894	24077.98
20	20	-24922004.8328171931	24077.75
