Trial	Iterations	Final_LL	Time_ms
1	17	-24921984.5328086764	21315.07
2	17	-24921984.5328086764	21158.93
3	17	-24921984.5328086764	20718.45
4	17	-24921984.5328086764	20814.54
5	17	-24921984.5328086764	20598.46
6	17	-24921984.5328086764	21638.43
7	17	-24921984.5328086764	21653.44
8	17	-24921984.5328086726	21991.56
9	17	-24921984.5328086764	21496.27
10	17	-24921984.5328086764	21902.79
11	17	-24921984.5328086726	21848.45
12	17	-24921984.5328086764	21715.13
13	17	-24921984.5328086764	21577.19
14	17	-24921984.5328086801	21697.59
15	17	-24921984.5328086764	22206.49
16	17	-24921984.5328086726	21587.86
17	17	-24921984.5328086764	21903.27
18	17	-24921984.5328086764	21011.95
19	17	-24921984.5328086764	21423.24
20	17	-24921984.5328086726	21829.85
