# EM Convergence Results
# Aitken acceleration: enabled
# Aitken damping: 0.8
# Converged: yes
# Total iterations: 20
# Total time (ms): 24582.60
# Final LL: -24922004.8328171857

=== Iteration Data ===
Iter	LL	Aitken_LL_Est	Time_ms
1	-25075245.8440186866	-25075245.8440186866	1229.5041
2	-24931705.3825929090	-24931705.3825929090	1228.1747
3	-24924580.5610262416	-24924208.4403338544	1233.2371
4	-24922180.6329265237	-24920961.6308634914	1228.4231
5	-24922056.5934017599	-24922049.8330515958	1227.3751
6	-24922022.8829780109	-24922010.3023959324	1227.7336
7	-24922006.9502734914	-24921992.6711035930	1228.6260
8	-24922005.5520482585	-24922005.4175381884	1229.8086
9	-24922005.1160412394	-24922004.9184747003	1227.9225
10	-24922004.7226800770	-24922001.0943556428	1230.0235
11	-24922004.7707911246	-24922004.7655480467	1228.5287
12	-24922004.7939511351	-24922004.8154486828	1228.1744
13	-24922004.8310548626	-24922004.7323231809	1228.1456
14	-24922004.8307345025	-24922004.8307372443	1228.1966
15	-24922004.8311368302	-24922004.8309128508	1230.2897
16	-24922004.8323198669	-24922004.8305271678	1229.8600
17	-24922004.8325314857	-24922004.8325775862	1228.5158
18	-24922004.8326418474	-24922004.8327621333	1229.1129
19	-24922004.8328142613	-24922004.8323352039	1232.2193
20	-24922004.8328171857	-24922004.8328172378	1227.8647

=== Aitken Acceleration Events ===
Iter	Lambda	Accel_Factor	Applied
3	0.31880617	1.17440875	yes
6	0.56102168	1.82241348	yes
9	0.51393182	1.64585965	yes
12	0.53659779	1.72636206	yes
15	0.51519286	1.65014072	yes
18	0.51689179	1.65594371	yes
