# EM Convergence Results
# Aitken acceleration: enabled
# Aitken damping: 0.8
# Converged: yes
# Total iterations: 20
# Total time (ms): 24306.26
# Final LL: -24922004.8328171857

=== Iteration Data ===
Iter	LL	Aitken_LL_Est	Time_ms
1	-25075245.8440186866	-25075245.8440186866	1218.4199
2	-24931705.3825929128	-24931705.3825929128	1212.3100
3	-24924580.5610262416	-24924208.4403338544	1212.6456
4	-24922180.6329265274	-24920961.6308635026	1215.8929
5	-24922056.5934017636	-24922049.8330515996	1216.7159
6	-24922022.8829780109	-24922010.3023959287	1215.4815
7	-24922006.9502734914	-24921992.6711035930	1213.3495
8	-24922005.5520482622	-24922005.4175381958	1215.8806
9	-24922005.1160412394	-24922004.9184746966	1216.4194
10	-24922004.7226800732	-24922001.0943555683	1216.0225
11	-24922004.7707911208	-24922004.7655480430	1212.7959
12	-24922004.7939511389	-24922004.8154487051	1213.3058
13	-24922004.8310548551	-24922004.7323231027	1216.0996
14	-24922004.8307345100	-24922004.8307372518	1216.1558
15	-24922004.8311368264	-24922004.8309128508	1215.1792
16	-24922004.8323198706	-24922004.8305271938	1214.2720
17	-24922004.8325314820	-24922004.8325775787	1216.6365
18	-24922004.8326418474	-24922004.8327621520	1216.6131
19	-24922004.8328142650	-24922004.8323351853	1213.2917
20	-24922004.8328171857	-24922004.8328172378	1218.0631

=== Aitken Acceleration Events ===
Iter	Lambda	Accel_Factor	Applied
3	0.31880617	1.17440875	yes
6	0.56102168	1.82241348	yes
9	0.51393182	1.64585965	yes
12	0.53659779	1.72636206	yes
15	0.51519286	1.65014072	yes
18	0.51689179	1.65594370	yes
