# EM Convergence Results
# Aitken acceleration: enabled
# Aitken damping: 0.8
# Converged: yes
# Total iterations: 20
# Total time (ms): 24575.01
# Final LL: -24922004.8328171931

=== Iteration Data ===
Iter	LL	Aitken_LL_Est	Time_ms
1	-25075245.8440186866	-25075245.8440186866	1228.4757
2	-24931705.3825929128	-24931705.3825929128	1230.6336
3	-24924580.5610262416	-24924208.4403338544	1229.5862
4	-24922180.6329265311	-24920961.6308635101	1227.7208
5	-24922056.5934017599	-24922049.8330515921	1228.0008
6	-24922022.8829780035	-24922010.3023959212	1228.2567
7	-24922006.9502734840	-24921992.6711035892	1229.0238
8	-24922005.5520482622	-24922005.4175381958	1228.6401
9	-24922005.1160412394	-24922004.9184746966	1228.1525
10	-24922004.7226800844	-24922001.0943567380	1228.6110
11	-24922004.7707911246	-24922004.7655480504	1230.9312
12	-24922004.7939511351	-24922004.8154486902	1227.9393
13	-24922004.8310548551	-24922004.7323231623	1227.5597
14	-24922004.8307345100	-24922004.8307372518	1228.7846
15	-24922004.8311368264	-24922004.8309128508	1228.2154
16	-24922004.8323198706	-24922004.8305271938	1228.8812
17	-24922004.8325314783	-24922004.8325775713	1228.1244
18	-24922004.8326418549	-24922004.8327622041	1228.9171
19	-24922004.8328142613	-24922004.8323350735	1228.3380
20	-24922004.8328171931	-24922004.8328172453	1229.6562

=== Aitken Acceleration Events ===
Iter	Lambda	Accel_Factor	Applied
3	0.31880617	1.17440875	yes
6	0.56102168	1.82241348	yes
9	0.51393182	1.64585965	yes
12	0.53659779	1.72636206	yes
15	0.51519286	1.65014072	yes
18	0.51689179	1.65594372	yes
