# EM Convergence Results
# Aitken acceleration: enabled
# Aitken damping: 0.8
# Converged: yes
# Total iterations: 20
# Total time (ms): 24303.29
# Final LL: -24922004.8328171894

=== Iteration Data ===
Iter	LL	Aitken_LL_Est	Time_ms
1	-25075245.8440186866	-25075245.8440186866	1218.0935
2	-24931705.3825929090	-24931705.3825929090	1215.4915
3	-24924580.5610262491	-24924208.4403338619	1212.9793
4	-24922180.6329265237	-24920961.6308634803	1217.3950
5	-24922056.5934017636	-24922049.8330515996	1212.9401
6	-24922022.8829780072	-24922010.3023959212	1214.8849
7	-24922006.9502734840	-24921992.6711035818	1216.1325
8	-24922005.5520482659	-24922005.4175381996	1215.2653
9	-24922005.1160412431	-24922004.9184747003	1213.7223
10	-24922004.7226800732	-24922001.0943551846	1214.4334
11	-24922004.7707911283	-24922004.7655480504	1214.6933
12	-24922004.7939511351	-24922004.8154486641	1214.5707
13	-24922004.8310548626	-24922004.7323232107	1214.7900
14	-24922004.8307344988	-24922004.8307372406	1212.6705
15	-24922004.8311368339	-24922004.8309128508	1216.6559
16	-24922004.8323198743	-24922004.8305271566	1218.6359
17	-24922004.8325314820	-24922004.8325775750	1215.1252
18	-24922004.8326418474	-24922004.8327621594	1215.1317
19	-24922004.8328142688	-24922004.8323352002	1213.8134
20	-24922004.8328171894	-24922004.8328172415	1215.0270

=== Aitken Acceleration Events ===
Iter	Lambda	Accel_Factor	Applied
3	0.31880617	1.17440875	yes
6	0.56102168	1.82241348	yes
9	0.51393182	1.64585965	yes
12	0.53659779	1.72636206	yes
15	0.51519286	1.65014072	yes
18	0.51689179	1.65594371	yes
