# EM Convergence Results
# Aitken acceleration: enabled
# Aitken damping: 0.8
# Converged: yes
# Total iterations: 20
# Total time (ms): 24305.55
# Final LL: -24922004.8328171968

=== Iteration Data ===
Iter	LL	Aitken_LL_Est	Time_ms
1	-25075245.8440186866	-25075245.8440186866	1215.4879
2	-24931705.3825929090	-24931705.3825929090	1215.6189
3	-24924580.5610262416	-24924208.4403338544	1213.6474
4	-24922180.6329265274	-24920961.6308634989	1217.2109
5	-24922056.5934017636	-24922049.8330515996	1214.4461
6	-24922022.8829780109	-24922010.3023959287	1214.8412
7	-24922006.9502734914	-24921992.6711035930	1215.7840
8	-24922005.5520482622	-24922005.4175381958	1216.8131
9	-24922005.1160412394	-24922004.9184746966	1215.8607
10	-24922004.7226800770	-24922001.0943559594	1213.6705
11	-24922004.7707911283	-24922004.7655480504	1214.5049
12	-24922004.7939511389	-24922004.8154486828	1219.0426
13	-24922004.8310548589	-24922004.7323231660	1213.8225
14	-24922004.8307345062	-24922004.8307372481	1214.4003
15	-24922004.8311368302	-24922004.8309128508	1215.2895
16	-24922004.8323198780	-24922004.8305271789	1217.8065
17	-24922004.8325314820	-24922004.8325775750	1214.4825
18	-24922004.8326418437	-24922004.8327621482	1214.3899
19	-24922004.8328142688	-24922004.8323352337	1213.0227
20	-24922004.8328171968	-24922004.8328172490	1214.7095

=== Aitken Acceleration Events ===
Iter	Lambda	Accel_Factor	Applied
3	0.31880617	1.17440875	yes
6	0.56102168	1.82241348	yes
9	0.51393182	1.64585965	yes
12	0.53659779	1.72636206	yes
15	0.51519286	1.65014072	yes
18	0.51689179	1.65594369	yes
