# EM Convergence Results
# Aitken acceleration: enabled
# Aitken damping: 0.8
# Converged: yes
# Total iterations: 20
# Total time (ms): 24295.17
# Final LL: -24922004.8328171894

=== Iteration Data ===
Iter	LL	Aitken_LL_Est	Time_ms
1	-25075245.8440186866	-25075245.8440186866	1214.6825
2	-24931705.3825929090	-24931705.3825929090	1215.6761
3	-24924580.5610262491	-24924208.4403338619	1213.8826
4	-24922180.6329265200	-24920961.6308634728	1212.2669
5	-24922056.5934017636	-24922049.8330515996	1213.1786
6	-24922022.8829780072	-24922010.3023959212	1215.3649
7	-24922006.9502734914	-24921992.6711036079	1217.0715
8	-24922005.5520482622	-24922005.4175381958	1213.7725
9	-24922005.1160412394	-24922004.9184746966	1212.9936
10	-24922004.7226800732	-24922001.0943555683	1219.2732
11	-24922004.7707911283	-24922004.7655480504	1213.2508
12	-24922004.7939511314	-24922004.8154486530	1214.3301
13	-24922004.8310548589	-24922004.7323232330	1213.0199
14	-24922004.8307345025	-24922004.8307372443	1215.8590
15	-24922004.8311368302	-24922004.8309128508	1216.4527
16	-24922004.8323198743	-24922004.8305271715	1212.9261
17	-24922004.8325314820	-24922004.8325775750	1213.8145
18	-24922004.8326418512	-24922004.8327621743	1217.2368
19	-24922004.8328142725	-24922004.8323351741	1212.9785
20	-24922004.8328171894	-24922004.8328172378	1216.5422

=== Aitken Acceleration Events ===
Iter	Lambda	Accel_Factor	Applied
3	0.31880617	1.17440875	yes
6	0.56102168	1.82241348	yes
9	0.51393182	1.64585965	yes
12	0.53659779	1.72636206	yes
15	0.51519286	1.65014072	yes
18	0.51689179	1.65594369	yes
