# EM Convergence Results
# Aitken acceleration: enabled
# Aitken damping: 0.8
# Converged: yes
# Total iterations: 20
# Total time (ms): 24326.20
# Final LL: -24922004.8328171968

=== Iteration Data ===
Iter	LL	Aitken_LL_Est	Time_ms
1	-25075245.8440186866	-25075245.8440186866	1215.4915
2	-24931705.3825929128	-24931705.3825929128	1213.5567
3	-24924580.5610262416	-24924208.4403338544	1217.5610
4	-24922180.6329265237	-24920961.6308634914	1216.0010
5	-24922056.5934017636	-24922049.8330515996	1214.1070
6	-24922022.8829780072	-24922010.3023959212	1214.6498
7	-24922006.9502734877	-24921992.6711035930	1222.9610
8	-24922005.5520482585	-24922005.4175381921	1214.1013
9	-24922005.1160412394	-24922004.9184747003	1212.7639
10	-24922004.7226800770	-24922001.0943556428	1217.1572
11	-24922004.7707911283	-24922004.7655480504	1216.9949
12	-24922004.7939511389	-24922004.8154486828	1216.2867
13	-24922004.8310548514	-24922004.7323231436	1216.9995
14	-24922004.8307345062	-24922004.8307372481	1214.3791
15	-24922004.8311368302	-24922004.8309128471	1218.3770
16	-24922004.8323198669	-24922004.8305271789	1217.8411
17	-24922004.8325314820	-24922004.8325775787	1217.1350
18	-24922004.8326418474	-24922004.8327621482	1214.5831
19	-24922004.8328142688	-24922004.8323352002	1218.9490
20	-24922004.8328171968	-24922004.8328172490	1215.4728

=== Aitken Acceleration Events ===
Iter	Lambda	Accel_Factor	Applied
3	0.31880617	1.17440875	yes
6	0.56102168	1.82241348	yes
9	0.51393182	1.64585965	yes
12	0.53659779	1.72636206	yes
15	0.51519286	1.65014072	yes
18	0.51689179	1.65594370	yes
