# EM Convergence Results
# Aitken acceleration: enabled
# Aitken damping: 0.8
# Converged: yes
# Total iterations: 20
# Total time (ms): 25939.68
# Final LL: -24921984.6973858215

=== Iteration Data ===
Iter	LL	Aitken_LL_Est	Time_ms
1	-25075245.8440186866	-25075245.8440186866	1298.1476
2	-24931753.8699100576	-24931753.8699100576	1305.2887
3	-24924706.0613545813	-24924342.0178996399	1292.5426
4	-24922221.3974665366	-24920868.4807640240	1292.0634
5	-24922069.6711685993	-24922059.8034080639	1294.2616
6	-24922022.9459476732	-24922002.1533393227	1301.6082
7	-24921985.7161372751	-24921839.7446936816	1296.8694
8	-24921985.0353142209	-24921985.0226320624	1308.8487
9	-24921984.8442135677	-24921984.7696418129	1310.4411
10	-24921984.7084993050	-24921984.3759562224	1310.9462
11	-24921984.7052049562	-24921984.7051229998	1297.4994
12	-24921984.7024570890	-24921984.6886400171	1290.9510
13	-24921984.6978665590	-24921984.7093027085	1290.3674
14	-24921984.6975961439	-24921984.6975792162	1293.4626
15	-24921984.6975228377	-24921984.6974955760	1293.9548
16	-24921984.6974372752	-24921984.6980345994	1292.0321
17	-24921984.6974264011	-24921984.6974248178	1294.6026
18	-24921984.6974130310	-24921984.6974846497	1293.4751
19	-24921984.6973875053	-24921984.6974411085	1292.0335
20	-24921984.6973858215	-24921984.6973857023	1289.5459

=== Aitken Acceleration Events ===
Iter	Lambda	Accel_Factor	Applied
3	0.31608062	1.16972851	yes
6	0.56391933	1.83452298	yes
9	0.50794168	1.62582356	yes
12	0.53653666	1.72613438	yes
15	0.51466897	1.64835947	yes
18	0.51620883	1.65360602	yes
