# EM Convergence Results
# Aitken acceleration: enabled
# Aitken damping: 0.8
# Converged: yes
# Total iterations: 20
# Total time (ms): 25766.55
# Final LL: -24921984.6973858252

=== Iteration Data ===
Iter	LL	Aitken_LL_Est	Time_ms
1	-25075245.8440186866	-25075245.8440186866	1278.6264
2	-24931753.8699100614	-24931753.8699100614	1277.0636
3	-24924706.0613545813	-24924342.0178996399	1278.8915
4	-24922221.3974665403	-24920868.4807640314	1280.6415
5	-24922069.6711685993	-24922059.8034080639	1284.4580
6	-24922022.9459476732	-24922002.1533393227	1278.0369
7	-24921985.7161372863	-24921839.7446939535	1279.3247
8	-24921985.0353142321	-24921985.0226320736	1279.3088
9	-24921984.8442135677	-24921984.7696418017	1297.1106
10	-24921984.7084992900	-24921984.3759561107	1298.1592
11	-24921984.7052049600	-24921984.7051230036	1297.7851
12	-24921984.7024570853	-24921984.6886392757	1297.9064
13	-24921984.6978665665	-24921984.7093027756	1300.2322
14	-24921984.6975961439	-24921984.6975792162	1300.0490
15	-24921984.6975228377	-24921984.6974955760	1304.0141
16	-24921984.6974372752	-24921984.6980345994	1288.1895
17	-24921984.6974263974	-24921984.6974248141	1285.1074
18	-24921984.6974130310	-24921984.6974848248	1287.0319
19	-24921984.6973875128	-24921984.6974411011	1288.2993
20	-24921984.6973858252	-24921984.6973857060	1285.6445

=== Aitken Acceleration Events ===
Iter	Lambda	Accel_Factor	Applied
3	0.31608062	1.16972851	yes
6	0.56391933	1.83452298	yes
9	0.50794168	1.62582356	yes
12	0.53653666	1.72613438	yes
15	0.51466897	1.64835946	yes
18	0.51620884	1.65360608	yes
