# EM Convergence Results
# Aitken acceleration: enabled
# Aitken damping: 0.8
# Converged: yes
# Total iterations: 20
# Total time (ms): 24686.06
# Final LL: -24921984.6973858215

=== Iteration Data ===
Iter	LL	Aitken_LL_Est	Time_ms
1	-25075245.8440186866	-25075245.8440186866	1221.3464
2	-24931753.8699100614	-24931753.8699100614	1223.2594
3	-24924706.0613545813	-24924342.0178996399	1220.7182
4	-24922221.3974665366	-24920868.4807640240	1221.3006
5	-24922069.6711685993	-24922059.8034080639	1224.8623
6	-24922022.9459476694	-24922002.1533393152	1220.1829
7	-24921985.7161372826	-24921839.7446940057	1219.8854
8	-24921985.0353142284	-24921985.0226320699	1219.1959
9	-24921984.8442135677	-24921984.7696418054	1219.2892
10	-24921984.7084992975	-24921984.3759561777	1258.6908
11	-24921984.7052049525	-24921984.7051229961	1230.2819
12	-24921984.7024570890	-24921984.6886400543	1261.5445
13	-24921984.6978665665	-24921984.7093027011	1265.3025
14	-24921984.6975961477	-24921984.6975792199	1297.5106
15	-24921984.6975228377	-24921984.6974955723	1228.4016
16	-24921984.6974372789	-24921984.6980349161	1222.4740
17	-24921984.6974264011	-24921984.6974248178	1238.5432
18	-24921984.6974130310	-24921984.6974847578	1233.3514
19	-24921984.6973875090	-24921984.6974411123	1234.5212
20	-24921984.6973858215	-24921984.6973857023	1224.7917

=== Aitken Acceleration Events ===
Iter	Lambda	Accel_Factor	Applied
3	0.31608062	1.16972851	yes
6	0.56391933	1.83452298	yes
9	0.50794168	1.62582356	yes
12	0.53653666	1.72613438	yes
15	0.51466897	1.64835946	yes
18	0.51620883	1.65360605	yes
