# EM Convergence Results
# Aitken acceleration: enabled
# Aitken damping: 0.8
# Converged: yes
# Total iterations: 20
# Total time (ms): 24634.72
# Final LL: -24921984.6973858215

=== Iteration Data ===
Iter	LL	Aitken_LL_Est	Time_ms
1	-25075245.8440186866	-25075245.8440186866	1239.3546
2	-24931753.8699100614	-24931753.8699100614	1247.5498
3	-24924706.0613545775	-24924342.0178996362	1232.5265
4	-24922221.3974665329	-24920868.4807640202	1226.7471
5	-24922069.6711685956	-24922059.8034080602	1261.7800
6	-24922022.9459476694	-24922002.1533393189	1222.6086
7	-24921985.7161372788	-24921839.7446938604	1222.7687
8	-24921985.0353142284	-24921985.0226320699	1224.9913
9	-24921984.8442135677	-24921984.7696418017	1225.9003
10	-24921984.7084992975	-24921984.3759561777	1220.6689
11	-24921984.7052049562	-24921984.7051229998	1218.0334
12	-24921984.7024570853	-24921984.6886396930	1229.2555
13	-24921984.6978665590	-24921984.7093027346	1229.6316
14	-24921984.6975961402	-24921984.6975792125	1234.7747
15	-24921984.6975228339	-24921984.6974955723	1219.3024
16	-24921984.6974372864	-24921984.6980351284	1221.7263
17	-24921984.6974264011	-24921984.6974248141	1223.6526
18	-24921984.6974130310	-24921984.6974849738	1220.9271
19	-24921984.6973875053	-24921984.6974411085	1221.5929
20	-24921984.6973858215	-24921984.6973857023	1290.3269

=== Aitken Acceleration Events ===
Iter	Lambda	Accel_Factor	Applied
3	0.31608062	1.16972851	yes
6	0.56391933	1.83452298	yes
9	0.50794168	1.62582356	yes
12	0.53653666	1.72613438	yes
15	0.51466897	1.64835946	yes
18	0.51620883	1.65360604	yes
