# EM Convergence Results
# Aitken acceleration: enabled
# Aitken damping: 0.8
# Converged: yes
# Total iterations: 20
# Total time (ms): 25401.36
# Final LL: -24921984.6973858215

=== Iteration Data ===
Iter	LL	Aitken_LL_Est	Time_ms
1	-25075245.8440186866	-25075245.8440186866	1300.5302
2	-24931753.8699100614	-24931753.8699100614	1352.2223
3	-24924706.0613545813	-24924342.0178996399	1288.6371
4	-24922221.3974665403	-24920868.4807640314	1234.6200
5	-24922069.6711685993	-24922059.8034080639	1233.2544
6	-24922022.9459476694	-24922002.1533393152	1228.2679
7	-24921985.7161372826	-24921839.7446940057	1222.2492
8	-24921985.0353142209	-24921985.0226320624	1231.6479
9	-24921984.8442135677	-24921984.7696418129	1233.5679
10	-24921984.7084992938	-24921984.3759560883	1250.4321
11	-24921984.7052049488	-24921984.7051229924	1316.4691
12	-24921984.7024570853	-24921984.6886400506	1326.9903
13	-24921984.6978665665	-24921984.7093027048	1306.6541
14	-24921984.6975961439	-24921984.6975792162	1257.5856
15	-24921984.6975228339	-24921984.6974955685	1265.5057
16	-24921984.6974372789	-24921984.6980350465	1277.9847
17	-24921984.6974264011	-24921984.6974248178	1295.8502
18	-24921984.6974130310	-24921984.6974847578	1265.1409
19	-24921984.6973874979	-24921984.6974410973	1255.0224
20	-24921984.6973858215	-24921984.6973857023	1257.8224

=== Aitken Acceleration Events ===
Iter	Lambda	Accel_Factor	Applied
3	0.31608062	1.16972851	yes
6	0.56391933	1.83452298	yes
9	0.50794168	1.62582356	yes
12	0.53653666	1.72613438	yes
15	0.51466897	1.64835946	yes
18	0.51620884	1.65360608	yes
