# EM Convergence Results
# Aitken acceleration: enabled
# Aitken damping: 0.8
# Converged: yes
# Total iterations: 20
# Total time (ms): 24856.10
# Final LL: -24921984.6973858215

=== Iteration Data ===
Iter	LL	Aitken_LL_Est	Time_ms
1	-25075245.8440186866	-25075245.8440186866	1223.4843
2	-24931753.8699100614	-24931753.8699100614	1222.4057
3	-24924706.0613545813	-24924342.0178996399	1222.6997
4	-24922221.3974665478	-24920868.4807640500	1243.7073
5	-24922069.6711685918	-24922059.8034080528	1222.7434
6	-24922022.9459476732	-24922002.1533393338	1291.4132
7	-24921985.7161372826	-24921839.7446937487	1303.7316
8	-24921985.0353142321	-24921985.0226320736	1273.2981
9	-24921984.8442135677	-24921984.7696418017	1238.8812
10	-24921984.7084992975	-24921984.3759562001	1228.2274
11	-24921984.7052049562	-24921984.7051229998	1318.6481
12	-24921984.7024570927	-24921984.6886399612	1269.7931
13	-24921984.6978665665	-24921984.7093026973	1227.1086
14	-24921984.6975961477	-24921984.6975792199	1225.5631
15	-24921984.6975228377	-24921984.6974955723	1221.8748
16	-24921984.6974372789	-24921984.6980349161	1222.0714
17	-24921984.6974264011	-24921984.6974248178	1221.4132
18	-24921984.6974130310	-24921984.6974847578	1240.5418
19	-24921984.6973875053	-24921984.6974411085	1218.1783
20	-24921984.6973858215	-24921984.6973857023	1219.6137

=== Aitken Acceleration Events ===
Iter	Lambda	Accel_Factor	Applied
3	0.31608062	1.16972851	yes
6	0.56391933	1.83452298	yes
9	0.50794168	1.62582356	yes
12	0.53653666	1.72613438	yes
15	0.51466897	1.64835946	yes
18	0.51620884	1.65360606	yes
