# EM Convergence Results
# Aitken acceleration: enabled
# Aitken damping: 0.8
# Converged: yes
# Total iterations: 20
# Total time (ms): 24634.84
# Final LL: -24921984.6973858215

=== Iteration Data ===
Iter	LL	Aitken_LL_Est	Time_ms
1	-25075245.8440186866	-25075245.8440186866	1224.5816
2	-24931753.8699100614	-24931753.8699100614	1226.6754
3	-24924706.0613545813	-24924342.0178996399	1237.0848
4	-24922221.3974665403	-24920868.4807640314	1220.3076
5	-24922069.6711685918	-24922059.8034080528	1224.0751
6	-24922022.9459476732	-24922002.1533393338	1220.4299
7	-24921985.7161372863	-24921839.7446938381	1222.3632
8	-24921985.0353142321	-24921985.0226320736	1238.7358
9	-24921984.8442135677	-24921984.7696418017	1262.7810
10	-24921984.7084992975	-24921984.3759562001	1229.3316
11	-24921984.7052049600	-24921984.7051230036	1245.9934
12	-24921984.7024570927	-24921984.6886397377	1242.8431
13	-24921984.6978665590	-24921984.7093027048	1222.8829
14	-24921984.6975961439	-24921984.6975792162	1220.7544
15	-24921984.6975228377	-24921984.6974955760	1224.0375
16	-24921984.6974372827	-24921984.6980348676	1224.4444
17	-24921984.6974263974	-24921984.6974248104	1257.5636
18	-24921984.6974130310	-24921984.6974850409	1223.7141
19	-24921984.6973875053	-24921984.6974410899	1220.5145
20	-24921984.6973858215	-24921984.6973857023	1245.0561

=== Aitken Acceleration Events ===
Iter	Lambda	Accel_Factor	Applied
3	0.31608062	1.16972851	yes
6	0.56391933	1.83452298	yes
9	0.50794168	1.62582356	yes
12	0.53653666	1.72613438	yes
15	0.51466897	1.64835946	yes
18	0.51620884	1.65360609	yes
