# EM Convergence Results
# Aitken acceleration: enabled
# Aitken damping: 0.8
# Converged: yes
# Total iterations: 20
# Total time (ms): 24983.94
# Final LL: -24921984.6973858215

=== Iteration Data ===
Iter	LL	Aitken_LL_Est	Time_ms
1	-25075245.8440186866	-25075245.8440186866	1242.1704
2	-24931753.8699100576	-24931753.8699100576	1228.8861
3	-24924706.0613545738	-24924342.0178996325	1235.7163
4	-24922221.3974665403	-24920868.4807640463	1229.9523
5	-24922069.6711685956	-24922059.8034080565	1226.9777
6	-24922022.9459476732	-24922002.1533393301	1241.5810
7	-24921985.7161372751	-24921839.7446936257	1230.5385
8	-24921985.0353142209	-24921985.0226320624	1261.2841
9	-24921984.8442135677	-24921984.7696418129	1235.7326
10	-24921984.7084992938	-24921984.3759560883	1278.3963
11	-24921984.7052049562	-24921984.7051229998	1243.6995
12	-24921984.7024570853	-24921984.6886395961	1348.8869
13	-24921984.6978665628	-24921984.7093027458	1264.8811
14	-24921984.6975961439	-24921984.6975792162	1288.7669
15	-24921984.6975228339	-24921984.6974955685	1279.5609
16	-24921984.6974372752	-24921984.6980349123	1253.9625
17	-24921984.6974263974	-24921984.6974248141	1223.2368
18	-24921984.6974130310	-24921984.6974848248	1224.5693
19	-24921984.6973875090	-24921984.6974410936	1224.0438
20	-24921984.6973858215	-24921984.6973857023	1220.5128

=== Aitken Acceleration Events ===
Iter	Lambda	Accel_Factor	Applied
3	0.31608062	1.16972851	yes
6	0.56391933	1.83452298	yes
9	0.50794168	1.62582356	yes
12	0.53653666	1.72613438	yes
15	0.51466897	1.64835946	yes
18	0.51620884	1.65360606	yes
