# EM Convergence Results
# Aitken acceleration: enabled
# Aitken damping: 0.8
# Converged: yes
# Total iterations: 20
# Total time (ms): 24830.16
# Final LL: -24921984.6973858215

=== Iteration Data ===
Iter	LL	Aitken_LL_Est	Time_ms
1	-25075245.8440186866	-25075245.8440186866	1223.1099
2	-24931753.8699100614	-24931753.8699100614	1245.7254
3	-24924706.0613545813	-24924342.0178996399	1220.6455
4	-24922221.3974665441	-24920868.4807640426	1225.5946
5	-24922069.6711686030	-24922059.8034080677	1260.0344
6	-24922022.9459476694	-24922002.1533393115	1231.5064
7	-24921985.7161372826	-24921839.7446940653	1223.0635
8	-24921985.0353142284	-24921985.0226320699	1239.5836
9	-24921984.8442135714	-24921984.7696418129	1220.5866
10	-24921984.7084992975	-24921984.3759561144	1241.6539
11	-24921984.7052049562	-24921984.7051229998	1263.0558
12	-24921984.7024570853	-24921984.6886396930	1278.5125
13	-24921984.6978665702	-24921984.7093027607	1245.6544
14	-24921984.6975961439	-24921984.6975792162	1246.5188
15	-24921984.6975228377	-24921984.6974955760	1250.4487
16	-24921984.6974372789	-24921984.6980347335	1241.4840
17	-24921984.6974264011	-24921984.6974248178	1265.5234
18	-24921984.6974130347	-24921984.6974848285	1248.2971
19	-24921984.6973875090	-24921984.6974410936	1224.7870
20	-24921984.6973858215	-24921984.6973857023	1233.6946

=== Aitken Acceleration Events ===
Iter	Lambda	Accel_Factor	Applied
3	0.31608062	1.16972851	yes
6	0.56391933	1.83452298	yes
9	0.50794168	1.62582356	yes
12	0.53653666	1.72613438	yes
15	0.51466897	1.64835946	yes
18	0.51620883	1.65360605	yes
