# EM Convergence Results
# Aitken acceleration: enabled
# Aitken damping: 0.8
# Converged: yes
# Total iterations: 20
# Total time (ms): 25679.82
# Final LL: -24921984.6973858252

=== Iteration Data ===
Iter	LL	Aitken_LL_Est	Time_ms
1	-25075245.8440186866	-25075245.8440186866	1287.6767
2	-24931753.8699100576	-24931753.8699100576	1285.6286
3	-24924706.0613545813	-24924342.0178996399	1285.5913
4	-24922221.3974665366	-24920868.4807640240	1284.7698
5	-24922069.6711685993	-24922059.8034080639	1284.9024
6	-24922022.9459476732	-24922002.1533393227	1288.9172
7	-24921985.7161372751	-24921839.7446936816	1282.1815
8	-24921985.0353142358	-24921985.0226320773	1280.3731
9	-24921984.8442135677	-24921984.7696417943	1281.7896
10	-24921984.7084992938	-24921984.3759561777	1278.8723
11	-24921984.7052049637	-24921984.7051230073	1282.0539
12	-24921984.7024570927	-24921984.6886394173	1279.9418
13	-24921984.6978665665	-24921984.7093027420	1277.5995
14	-24921984.6975961477	-24921984.6975792199	1279.5859
15	-24921984.6975228377	-24921984.6974955723	1279.1370
16	-24921984.6974372789	-24921984.6980349161	1289.8288
17	-24921984.6974264048	-24921984.6974248216	1290.8694
18	-24921984.6974130273	-24921984.6974845119	1292.0493
19	-24921984.6973875053	-24921984.6974411421	1286.2979
20	-24921984.6973858252	-24921984.6973857060	1281.1116

=== Aitken Acceleration Events ===
Iter	Lambda	Accel_Factor	Applied
3	0.31608062	1.16972851	yes
6	0.56391933	1.83452298	yes
9	0.50794168	1.62582356	yes
12	0.53653666	1.72613438	yes
15	0.51466897	1.64835946	yes
18	0.51620884	1.65360608	yes
