# EM Convergence Results
# Aitken acceleration: enabled
# Aitken damping: 0.8
# Converged: yes
# Total iterations: 20
# Total time (ms): 24692.74
# Final LL: -24921984.6973858215

=== Iteration Data ===
Iter	LL	Aitken_LL_Est	Time_ms
1	-25075245.8440186866	-25075245.8440186866	1243.6439
2	-24931753.8699100576	-24931753.8699100576	1241.9277
3	-24924706.0613545813	-24924342.0178996399	1240.0253
4	-24922221.3974665292	-24920868.4807640053	1218.4225
5	-24922069.6711685918	-24922059.8034080565	1243.0508
6	-24922022.9459476694	-24922002.1533393227	1222.9945
7	-24921985.7161372788	-24921839.7446938008	1245.8837
8	-24921985.0353142321	-24921985.0226320736	1218.2123
9	-24921984.8442135677	-24921984.7696417980	1233.0121
10	-24921984.7084992900	-24921984.3759561107	1226.5357
11	-24921984.7052049562	-24921984.7051229998	1225.5193
12	-24921984.7024570853	-24921984.6886395030	1240.2480
13	-24921984.6978665590	-24921984.7093027346	1229.2663
14	-24921984.6975961477	-24921984.6975792199	1228.5823
15	-24921984.6975228377	-24921984.6974955723	1222.2891
16	-24921984.6974372827	-24921984.6980350502	1219.7136
17	-24921984.6974264011	-24921984.6974248141	1232.9908
18	-24921984.6974130310	-24921984.6974848658	1294.2882
19	-24921984.6973875128	-24921984.6974411160	1243.6985
20	-24921984.6973858215	-24921984.6973857023	1221.7057

=== Aitken Acceleration Events ===
Iter	Lambda	Accel_Factor	Applied
3	0.31608062	1.16972851	yes
6	0.56391933	1.83452298	yes
9	0.50794168	1.62582356	yes
12	0.53653666	1.72613438	yes
15	0.51466897	1.64835946	yes
18	0.51620884	1.65360609	yes
