# EM Convergence Results
# Aitken acceleration: enabled
# Aitken damping: 0.8
# Converged: no
# Total iterations: 100
# Total time (ms): 141715.99
# Final LL: -1758068.6998854543

=== Iteration Data ===
Iter	LL	Aitken_LL_Est	Time_ms
1	-1762178.6508657094	-1762178.6508657094	1419.9200
2	-1762144.9098531788	-1762144.9098531788	1415.2620
3	-1762110.9949713664	-1768726.4200574502	1435.9972
4	-1762076.9058041482	-1768744.5399438024	1436.3580
5	-1762042.6424390248	-1768781.9782997074	1433.2353
6	-1762008.2048354528	-1768814.6734995584	1429.6884
7	-1761973.5928846917	-1768844.8658923756	1427.0246
8	-1761938.8068360563	-1768889.3177783082	1425.6227
9	-1761903.8465454602	-1768918.3562153713	1427.2070
10	-1761868.7121712239	-1768959.6958630788	1422.1805
11	-1761833.4038935457	-1769002.1778887615	1422.3396
12	-1761797.9218180329	-1769041.8422335610	1419.5250
13	-1761762.2661187367	-1769084.5860697988	1419.7311
14	-1761726.4370563652	-1769131.2532651518	1418.8238
15	-1761690.4348719949	-1769177.3937133278	1415.6624
16	-1761654.2598300343	-1769224.8481908687	1412.8372
17	-1761617.9122091916	-1769273.2494331808	1416.9351
18	-1761581.3924215198	-1769327.9188537926	1412.7415
19	-1761544.7008396641	-1769381.2419121927	1412.7050
20	-1761507.8378728575	-1769436.6455943808	1415.3558
21	-1761470.8039487950	-1769493.3445800305	1413.2116
22	-1761433.5995773401	-1769554.3765276452	1413.0643
23	-1761396.2252749566	-1769616.2620275437	1417.0336
24	-1761358.6816265858	-1769682.0293230738	1412.2508
25	-1761320.9692462287	-1769749.8609062019	1413.2883
26	-1761283.0886551784	-1769813.6948329424	1413.0718
27	-1761245.0407259101	-1769896.0526601064	1412.7073
28	-1761206.8259825564	-1769961.2822187084	1412.9246
29	-1761168.4452139335	-1770041.0909636072	1415.1479
30	-1761129.8993591915	-1770129.9468922985	1415.1665
31	-1761091.1891181245	-1770206.8060224345	1415.3265
32	-1761052.3154093574	-1770296.7424865838	1413.1369
33	-1761013.2790732558	-1770383.3861414699	1416.1898
34	-1760974.0811670467	-1770483.7353620222	1412.0980
35	-1760934.7226517887	-1770579.8375128056	1415.5259
36	-1760895.2045701009	-1770682.2179235714	1413.0334
37	-1760855.5279572264	-1770785.6473399925	1414.7436
38	-1760815.6939620506	-1770897.8134804533	1412.4205
39	-1760775.7037786872	-1771014.7288256583	1416.7898
40	-1760735.5585683351	-1771131.4124054376	1415.3468
41	-1760695.2596110015	-1771258.1073811746	1412.7802
42	-1760654.8081997293	-1771387.9954825209	1412.9226
43	-1760614.2056884547	-1771524.6219356048	1417.3175
44	-1760573.4533836779	-1771660.3851964362	1412.2843
45	-1760532.5528085476	-1771815.0311135494	1412.7457
46	-1760491.5054292041	-1771968.6102969781	1415.9980
47	-1760450.3126275123	-1772118.7180081878	1413.3794
48	-1760408.9760756902	-1772295.6471637138	1415.2412
49	-1760367.4974160858	-1772474.3586539817	1420.5584
