Trial	Iterations	Final_LL	Time_ms
1	20	-24922004.8328171931	24575.01
2	20	-24922004.8328171931	24590.44
3	20	-24922004.8328171857	24582.60
4	20	-24922004.8328171931	24407.54
5	20	-24922004.8328171894	24324.51
6	20	-24922004.8328171894	24295.17
7	20	-24922004.8328171894	24303.29
8	20	-24922004.8328171968	24326.20
9	20	-24922004.8328171857	24306.26
10	20	-24922004.8328171968	24305.55
