Trial	Iterations	Final_LL	Time_ms
1	17	-24921984.5328086801	21942.29
2	17	-24921984.5328086726	21204.95
3	17	-24921984.5328086764	21386.12
4	17	-24921984.5328086764	20863.07
5	17	-24921984.5328086764	20848.90
6	17	-24921984.5328086726	20857.39
7	17	-24921984.5328086764	20854.20
8	17	-24921984.5328086764	20858.71
9	17	-24921984.5328086801	20841.89
10	17	-24921984.5328086764	20857.70
