Trial	Iterations	Final_LL	Time_ms
1	20	-24921984.6973858252	24561.82
2	20	-24921984.6973858215	24560.48
3	20	-24921984.6973858215	24549.57
4	20	-24921984.6973858215	24547.55
5	20	-24921984.6973858215	24526.96
6	20	-24921984.6973858215	24544.32
7	20	-24921984.6973858252	24553.12
8	20	-24921984.6973858215	24539.28
9	20	-24921984.6973858215	24550.53
10	20	-24921984.6973858215	24535.61
