# EM Convergence Results
# Aitken acceleration: enabled
# Aitken damping: 0.8
# Converged: yes
# Total iterations: 17
# Total time (ms): 21942.29
# Final LL: -24921984.5328086801

=== Iteration Data ===
Iter	LL	Aitken_LL_Est	Time_ms
1	-25075245.8440186940	-25075245.8440186940	1312.7420
2	-24931755.5606291592	-24931755.5606291592	1283.9019
3	-24924706.7941584215	-24924342.6446687281	1288.3282
4	-24922220.8886338733	-24920866.5352249369	1297.9265
5	-24922069.3907122575	-24922059.5588301867	1302.0734
6	-24922022.7391851321	-24922001.9815330096	1297.0948
7	-24921985.5832203291	-24921840.1925974712	1291.9937
8	-24921984.8823108152	-24921984.8688346557	1315.6260
9	-24921984.6839971244	-24921984.6057467312	1283.6294
10	-24921984.5412560888	-24921984.1746188775	1298.8590
11	-24921984.5396276563	-24921984.5396088660	1298.1632
12	-24921984.5374782383	-24921984.5463460423	1299.2226
13	-24921984.5334980376	-24921984.5421511643	1317.6080
14	-24921984.5330743976	-24921984.5330239348	1293.1470
15	-24921984.5329458900	-24921984.5328899361	1286.2514
16	-24921984.5328060500	-24921984.5345316604	1235.5221
17	-24921984.5328086801	-24921984.5328086317	1239.5276

=== Aitken Acceleration Events ===
Iter	Lambda	Accel_Factor	Applied
3	0.31607725	1.16972275	yes
6	0.56392159	1.83453246	yes
9	0.50793472	1.62580053	yes
12	0.53653664	1.72613431	yes
15	0.51466619	1.64835003	yes
