# EM Convergence Results
# Aitken acceleration: enabled
# Aitken damping: 0.8
# Converged: yes
# Total iterations: 17
# Total time (ms): 20858.71
# Final LL: -24921984.5328086764

=== Iteration Data ===
Iter	LL	Aitken_LL_Est	Time_ms
1	-25075245.8440186940	-25075245.8440186940	1227.2564
2	-24931755.5606291592	-24931755.5606291592	1225.3602
3	-24924706.7941584289	-24924342.6446687356	1227.1192
4	-24922220.8886338770	-24920866.5352249332	1224.9595
5	-24922069.3907122575	-24922059.5588301867	1224.4775
6	-24922022.7391851284	-24922001.9815330021	1229.0075
7	-24921985.5832203291	-24921840.1925976165	1231.5996
8	-24921984.8823108152	-24921984.8688346557	1226.0803
9	-24921984.6839971244	-24921984.6057467312	1229.5487
10	-24921984.5412560888	-24921984.1746188775	1224.7544
11	-24921984.5396276526	-24921984.5396088623	1224.8823
12	-24921984.5374782421	-24921984.5463461727	1232.1962
13	-24921984.5334980302	-24921984.5421511196	1226.6746
14	-24921984.5330743939	-24921984.5330239348	1225.0740
15	-24921984.5329458974	-24921984.5328899547	1225.1836
16	-24921984.5328060500	-24921984.5345290154	1227.8656
17	-24921984.5328086764	-24921984.5328086279	1226.0280

=== Aitken Acceleration Events ===
Iter	Lambda	Accel_Factor	Applied
3	0.31607725	1.16972275	yes
6	0.56392159	1.83453246	yes
9	0.50793472	1.62580053	yes
12	0.53653664	1.72613431	yes
15	0.51466619	1.64835004	yes
