# EM Convergence Results
# Aitken acceleration: enabled
# Aitken damping: 0.8
# Converged: yes
# Total iterations: 17
# Total time (ms): 20848.90
# Final LL: -24921984.5328086764

=== Iteration Data ===
Iter	LL	Aitken_LL_Est	Time_ms
1	-25075245.8440186940	-25075245.8440186940	1227.9945
2	-24931755.5606291555	-24931755.5606291555	1225.5682
3	-24924706.7941584289	-24924342.6446687356	1225.9726
4	-24922220.8886338770	-24920866.5352249295	1225.0981
5	-24922069.3907122612	-24922059.5588301904	1228.1290
6	-24922022.7391851246	-24922001.9815329909	1225.9006
7	-24921985.5832203329	-24921840.1925979070	1226.1801
8	-24921984.8823108226	-24921984.8688346632	1228.2018
9	-24921984.6839971356	-24921984.6057467461	1225.7794
10	-24921984.5412560850	-24921984.1746186763	1227.6308
11	-24921984.5396276526	-24921984.5396088623	1226.1540
12	-24921984.5374782309	-24921984.5463460013	1225.9015
13	-24921984.5334980339	-24921984.5421511829	1225.8770
14	-24921984.5330743976	-24921984.5330239348	1226.8088
15	-24921984.5329458974	-24921984.5328899510	1225.4062
16	-24921984.5328060538	-24921984.5345300585	1225.7957
17	-24921984.5328086764	-24921984.5328086279	1225.9076

=== Aitken Acceleration Events ===
Iter	Lambda	Accel_Factor	Applied
3	0.31607725	1.16972275	yes
6	0.56392159	1.83453246	yes
9	0.50793472	1.62580053	yes
12	0.53653664	1.72613431	yes
15	0.51466619	1.64835004	yes
