# EM Convergence Results
# Aitken acceleration: enabled
# Aitken damping: 0.8
# Converged: yes
# Total iterations: 20
# Total time (ms): 24539.28
# Final LL: -24921984.6973858215

=== Iteration Data ===
Iter	LL	Aitken_LL_Est	Time_ms
1	-25075245.8440186866	-25075245.8440186866	1231.8843
2	-24931753.8699100614	-24931753.8699100614	1226.3972
3	-24924706.0613545813	-24924342.0178996399	1225.9157
4	-24922221.3974665329	-24920868.4807640165	1226.2299
5	-24922069.6711685918	-24922059.8034080565	1225.9962
6	-24922022.9459476694	-24922002.1533393227	1231.9247
7	-24921985.7161372751	-24921839.7446937114	1226.7018
8	-24921985.0353142284	-24921985.0226320699	1226.6336
9	-24921984.8442135714	-24921984.7696418092	1225.3018
10	-24921984.7084992975	-24921984.3759561144	1226.1165
11	-24921984.7052049600	-24921984.7051230036	1225.2172
12	-24921984.7024570815	-24921984.6886393316	1226.3526
13	-24921984.6978665665	-24921984.7093028016	1225.3854
14	-24921984.6975961439	-24921984.6975792162	1229.3703
15	-24921984.6975228302	-24921984.6974955611	1227.7518
16	-24921984.6974372752	-24921984.6980352215	1226.4120
17	-24921984.6974264011	-24921984.6974248178	1226.4335
18	-24921984.6974130310	-24921984.6974846497	1226.0560
19	-24921984.6973875090	-24921984.6974411123	1225.2198
20	-24921984.6973858215	-24921984.6973857023	1227.3182

=== Aitken Acceleration Events ===
Iter	Lambda	Accel_Factor	Applied
3	0.31608062	1.16972851	yes
6	0.56391933	1.83452298	yes
9	0.50794168	1.62582356	yes
12	0.53653666	1.72613438	yes
15	0.51466897	1.64835946	yes
18	0.51620884	1.65360607	yes
