# EM Convergence Results
# Aitken acceleration: enabled
# Aitken damping: 0.8
# Converged: yes
# Total iterations: 20
# Total time (ms): 24561.82
# Final LL: -24921984.6973858252

=== Iteration Data ===
Iter	LL	Aitken_LL_Est	Time_ms
1	-25075245.8440186866	-25075245.8440186866	1227.3235
2	-24931753.8699100576	-24931753.8699100576	1230.2718
3	-24924706.0613545813	-24924342.0178996399	1226.2110
4	-24922221.3974665403	-24920868.4807640314	1230.9989
5	-24922069.6711685956	-24922059.8034080565	1227.6511
6	-24922022.9459476694	-24922002.1533393227	1227.3063
7	-24921985.7161372714	-24921839.7446936779	1225.8656
8	-24921985.0353142284	-24921985.0226320699	1227.0616
9	-24921984.8442135677	-24921984.7696418017	1230.7320
10	-24921984.7084992938	-24921984.3759561330	1228.1187
11	-24921984.7052049562	-24921984.7051229998	1227.4962
12	-24921984.7024570853	-24921984.6886395961	1225.9187
13	-24921984.6978665590	-24921984.7093027346	1229.1584
14	-24921984.6975961402	-24921984.6975792125	1226.1818
15	-24921984.6975228377	-24921984.6974955797	1226.6729
16	-24921984.6974372789	-24921984.6980345510	1226.7638
17	-24921984.6974264048	-24921984.6974248216	1227.3913
18	-24921984.6974130310	-24921984.6974845827	1230.7939
19	-24921984.6973875053	-24921984.6974411234	1231.2831
20	-24921984.6973858252	-24921984.6973857060	1227.9632

=== Aitken Acceleration Events ===
Iter	Lambda	Accel_Factor	Applied
3	0.31608062	1.16972851	yes
6	0.56391933	1.83452298	yes
9	0.50794168	1.62582356	yes
12	0.53653666	1.72613438	yes
15	0.51466897	1.64835946	yes
18	0.51620884	1.65360608	yes
