# EM Convergence Results
# Aitken acceleration: enabled
# Aitken damping: 0.8
# Converged: yes
# Total iterations: 20
# Total time (ms): 24535.61
# Final LL: -24921984.6973858215

=== Iteration Data ===
Iter	LL	Aitken_LL_Est	Time_ms
1	-25075245.8440186866	-25075245.8440186866	1227.7707
2	-24931753.8699100614	-24931753.8699100614	1226.0299
3	-24924706.0613545813	-24924342.0178996399	1226.5069
4	-24922221.3974665441	-24920868.4807640426	1225.9663
5	-24922069.6711685993	-24922059.8034080602	1228.9213
6	-24922022.9459476732	-24922002.1533393264	1226.8515
7	-24921985.7161372788	-24921839.7446937747	1228.4435
8	-24921985.0353142284	-24921985.0226320699	1226.2389
9	-24921984.8442135677	-24921984.7696418017	1227.6773
10	-24921984.7084993012	-24921984.3759562224	1224.8685
11	-24921984.7052049600	-24921984.7051230036	1226.4346
12	-24921984.7024570815	-24921984.6886394247	1226.1898
13	-24921984.6978665628	-24921984.7093027942	1226.5904
14	-24921984.6975961439	-24921984.6975792162	1225.8874
15	-24921984.6975228377	-24921984.6974955760	1225.8216
16	-24921984.6974372827	-24921984.6980348676	1226.9493
17	-24921984.6974263974	-24921984.6974248104	1226.3616
18	-24921984.6974130273	-24921984.6974849701	1226.0389
19	-24921984.6973875053	-24921984.6974411085	1225.2921
20	-24921984.6973858215	-24921984.6973857023	1230.0038

=== Aitken Acceleration Events ===
Iter	Lambda	Accel_Factor	Applied
3	0.31608062	1.16972851	yes
6	0.56391933	1.83452298	yes
9	0.50794168	1.62582356	yes
12	0.53653666	1.72613438	yes
15	0.51466897	1.64835946	yes
18	0.51620884	1.65360607	yes
