# EM Convergence Results
# Aitken acceleration: enabled
# Aitken damping: 0.8
# Converged: yes
# Total iterations: 20
# Total time (ms): 24526.96
# Final LL: -24921984.6973858215

=== Iteration Data ===
Iter	LL	Aitken_LL_Est	Time_ms
1	-25075245.8440186866	-25075245.8440186866	1227.7262
2	-24931753.8699100614	-24931753.8699100614	1226.5706
3	-24924706.0613545775	-24924342.0178996362	1225.7116
4	-24922221.3974665366	-24920868.4807640314	1225.3434
5	-24922069.6711685956	-24922059.8034080602	1225.8733
6	-24922022.9459476732	-24922002.1533393264	1225.5587
7	-24921985.7161372788	-24921839.7446937151	1227.4956
8	-24921985.0353142284	-24921985.0226320699	1226.0766
9	-24921984.8442135677	-24921984.7696418017	1227.4523
10	-24921984.7084992863	-24921984.3759560436	1225.7640
11	-24921984.7052049525	-24921984.7051229961	1227.3468
12	-24921984.7024570890	-24921984.6886397712	1225.9141
13	-24921984.6978665590	-24921984.7093026862	1224.9569
14	-24921984.6975961439	-24921984.6975792162	1226.0348
15	-24921984.6975228377	-24921984.6974955760	1225.7502
16	-24921984.6974372752	-24921984.6980345994	1226.8605
17	-24921984.6974264011	-24921984.6974248178	1225.2629
18	-24921984.6974130385	-24921984.6974847913	1225.6690
19	-24921984.6973875165	-24921984.6974410862	1225.8218
20	-24921984.6973858215	-24921984.6973857023	1229.1216

=== Aitken Acceleration Events ===
Iter	Lambda	Accel_Factor	Applied
3	0.31608062	1.16972851	yes
6	0.56391933	1.83452298	yes
9	0.50794168	1.62582356	yes
12	0.53653666	1.72613438	yes
15	0.51466897	1.64835946	yes
18	0.51620884	1.65360609	yes
