# EM Convergence Results
# Aitken acceleration: enabled
# Aitken damping: 0.8
# Converged: yes
# Total iterations: 20
# Total time (ms): 24553.12
# Final LL: -24921984.6973858252

=== Iteration Data ===
Iter	LL	Aitken_LL_Est	Time_ms
1	-25075245.8440186866	-25075245.8440186866	1230.1553
2	-24931753.8699100576	-24931753.8699100576	1232.1121
3	-24924706.0613545813	-24924342.0178996399	1226.6288
4	-24922221.3974665403	-24920868.4807640314	1226.6709
5	-24922069.6711685956	-24922059.8034080565	1226.5958
6	-24922022.9459476657	-24922002.1533393152	1227.0940
7	-24921985.7161372788	-24921839.7446940020	1225.8478
8	-24921985.0353142284	-24921985.0226320699	1225.1237
9	-24921984.8442135714	-24921984.7696418092	1227.2949
10	-24921984.7084992975	-24921984.3759561144	1225.8259
11	-24921984.7052049562	-24921984.7051229998	1228.5731
12	-24921984.7024570853	-24921984.6886396930	1228.1974
13	-24921984.6978665628	-24921984.7093027458	1229.5057
14	-24921984.6975961439	-24921984.6975792162	1228.0514
15	-24921984.6975228377	-24921984.6974955760	1232.2530
16	-24921984.6974372789	-24921984.6980347335	1227.0459
17	-24921984.6974264011	-24921984.6974248178	1225.7627
18	-24921984.6974130273	-24921984.6974846870	1225.3124
19	-24921984.6973875053	-24921984.6974411234	1226.8070
20	-24921984.6973858252	-24921984.6973857060	1227.5892

=== Aitken Acceleration Events ===
Iter	Lambda	Accel_Factor	Applied
3	0.31608062	1.16972851	yes
6	0.56391933	1.83452298	yes
9	0.50794168	1.62582356	yes
12	0.53653666	1.72613438	yes
15	0.51466897	1.64835946	yes
18	0.51620885	1.65360610	yes
