# EM Convergence Results
# Aitken acceleration: enabled
# Aitken damping: 0.8
# Converged: yes
# Total iterations: 20
# Total time (ms): 24544.32
# Final LL: -24921984.6973858215

=== Iteration Data ===
Iter	LL	Aitken_LL_Est	Time_ms
1	-25075245.8440186866	-25075245.8440186866	1227.1942
2	-24931753.8699100576	-24931753.8699100576	1227.5655
3	-24924706.0613545813	-24924342.0178996399	1225.6548
4	-24922221.3974665366	-24920868.4807640240	1225.6393
5	-24922069.6711685918	-24922059.8034080528	1225.5470
6	-24922022.9459476694	-24922002.1533393264	1225.5128
7	-24921985.7161372751	-24921839.7446937114	1226.5007
8	-24921985.0353142247	-24921985.0226320662	1225.5898
9	-24921984.8442135677	-24921984.7696418054	1225.8285
10	-24921984.7084992938	-24921984.3759561107	1228.6999
11	-24921984.7052049562	-24921984.7051229998	1228.5735
12	-24921984.7024570815	-24921984.6886394620	1225.6156
13	-24921984.6978665590	-24921984.7093027644	1225.0260
14	-24921984.6975961439	-24921984.6975792162	1230.1453
15	-24921984.6975228377	-24921984.6974955760	1226.4947
16	-24921984.6974372752	-24921984.6980345994	1229.4584
17	-24921984.6974264011	-24921984.6974248178	1227.7654
18	-24921984.6974130347	-24921984.6974847205	1225.9240
19	-24921984.6973875165	-24921984.6974411048	1228.3792
20	-24921984.6973858215	-24921984.6973857023	1232.5456

=== Aitken Acceleration Events ===
Iter	Lambda	Accel_Factor	Applied
3	0.31608062	1.16972851	yes
6	0.56391933	1.83452298	yes
9	0.50794168	1.62582356	yes
12	0.53653666	1.72613438	yes
15	0.51466897	1.64835946	yes
18	0.51620884	1.65360607	yes
