# EM Convergence Results
# Aitken acceleration: enabled
# Aitken damping: 0.8
# Converged: yes
# Total iterations: 20
# Total time (ms): 24547.55
# Final LL: -24921984.6973858215

=== Iteration Data ===
Iter	LL	Aitken_LL_Est	Time_ms
1	-25075245.8440186866	-25075245.8440186866	1227.2901
2	-24931753.8699100614	-24931753.8699100614	1226.9317
3	-24924706.0613545850	-24924342.0178996436	1226.0104
4	-24922221.3974665403	-24920868.4807640277	1226.0342
5	-24922069.6711685918	-24922059.8034080528	1230.5894
6	-24922022.9459476694	-24922002.1533393264	1232.0042
7	-24921985.7161372788	-24921839.7446938008	1226.8753
8	-24921985.0353142284	-24921985.0226320699	1224.6870
9	-24921984.8442135677	-24921984.7696418017	1225.9164
10	-24921984.7084992863	-24921984.3759560436	1226.6478
11	-24921984.7052049562	-24921984.7051229998	1227.8587
12	-24921984.7024570853	-24921984.6886394098	1226.8673
13	-24921984.6978665628	-24921984.7093027458	1228.5762
14	-24921984.6975961402	-24921984.6975792125	1226.0185
15	-24921984.6975228377	-24921984.6974955797	1231.9939
16	-24921984.6974372827	-24921984.6980346851	1226.2152
17	-24921984.6974264085	-24921984.6974248253	1225.0174
18	-24921984.6974130273	-24921984.6974844486	1226.0943
19	-24921984.6973875016	-24921984.6974411532	1227.9477
20	-24921984.6973858215	-24921984.6973857023	1227.1546

=== Aitken Acceleration Events ===
Iter	Lambda	Accel_Factor	Applied
3	0.31608062	1.16972851	yes
6	0.56391933	1.83452298	yes
9	0.50794168	1.62582356	yes
12	0.53653666	1.72613438	yes
15	0.51466897	1.64835946	yes
18	0.51620885	1.65360609	yes
