# EM Convergence Results
# Aitken acceleration: enabled
# Aitken damping: 0.8
# Converged: yes
# Total iterations: 17
# Total time (ms): 20814.54
# Final LL: -24921984.5328086764

=== Iteration Data ===
Iter	LL	Aitken_LL_Est	Time_ms
1	-25075245.8440186940	-25075245.8440186940	1222.3649
2	-24931755.5606291592	-24931755.5606291592	1220.0143
3	-24924706.7941584252	-24924342.6446687318	1253.2664
4	-24922220.8886338770	-24920866.5352249369	1201.7919
5	-24922069.3907122575	-24922059.5588301867	1201.1713
6	-24922022.7391851284	-24922001.9815330021	1261.1285
7	-24921985.5832203329	-24921840.1925977059	1202.7301
8	-24921984.8823108189	-24921984.8688346595	1236.9737
9	-24921984.6839971319	-24921984.6057467423	1200.7870
10	-24921984.5412560962	-24921984.1746188588	1281.9851
11	-24921984.5396276526	-24921984.5396088585	1238.6865
12	-24921984.5374782272	-24921984.5463461541	1225.3677
13	-24921984.5334980451	-24921984.5421512164	1236.9919
14	-24921984.5330743976	-24921984.5330239348	1200.8067
15	-24921984.5329458974	-24921984.5328899510	1202.0804
16	-24921984.5328060575	-24921984.5345305353	1200.9155
17	-24921984.5328086764	-24921984.5328086279	1226.7731

=== Aitken Acceleration Events ===
Iter	Lambda	Accel_Factor	Applied
3	0.31607725	1.16972275	yes
6	0.56392159	1.83453246	yes
9	0.50793472	1.62580053	yes
12	0.53653664	1.72613431	yes
15	0.51466619	1.64835004	yes
