# EM Convergence Results
# Aitken acceleration: enabled
# Aitken damping: 0.8
# Converged: yes
# Total iterations: 17
# Total time (ms): 21715.13
# Final LL: -24921984.5328086764

=== Iteration Data ===
Iter	LL	Aitken_LL_Est	Time_ms
1	-25075245.8440186940	-25075245.8440186940	1273.7078
2	-24931755.5606291592	-24931755.5606291592	1294.0705
3	-24924706.7941584289	-24924342.6446687356	1287.0880
4	-24922220.8886338845	-24920866.5352249518	1298.2909
5	-24922069.3907122575	-24922059.5588301867	1301.3362
6	-24922022.7391851284	-24922001.9815330058	1266.1245
7	-24921985.5832203329	-24921840.1925977059	1285.1299
8	-24921984.8823108263	-24921984.8688346669	1282.5216
9	-24921984.6839971282	-24921984.6057467274	1265.2468
10	-24921984.5412560999	-24921984.1746190265	1278.2968
11	-24921984.5396276601	-24921984.5396088697	1279.0463
12	-24921984.5374782346	-24921984.5463460982	1275.6277
13	-24921984.5334980339	-24921984.5421511978	1281.5192
14	-24921984.5330743976	-24921984.5330239348	1262.6376
15	-24921984.5329458974	-24921984.5328899510	1261.0884
16	-24921984.5328060612	-24921984.5345310159	1259.3024
17	-24921984.5328086764	-24921984.5328086279	1263.2480

=== Aitken Acceleration Events ===
Iter	Lambda	Accel_Factor	Applied
3	0.31607725	1.16972275	yes
6	0.56392159	1.83453246	yes
9	0.50793472	1.62580053	yes
12	0.53653664	1.72613431	yes
15	0.51466619	1.64835004	yes
