# EM Convergence Results
# Aitken acceleration: enabled
# Aitken damping: 0.8
# Converged: yes
# Total iterations: 17
# Total time (ms): 21848.45
# Final LL: -24921984.5328086726

=== Iteration Data ===
Iter	LL	Aitken_LL_Est	Time_ms
1	-25075245.8440186940	-25075245.8440186940	1327.8928
2	-24931755.5606291555	-24931755.5606291555	1302.9681
3	-24924706.7941584252	-24924342.6446687318	1273.4882
4	-24922220.8886338659	-24920866.5352249108	1284.3576
5	-24922069.3907122612	-24922059.5588301942	1284.8793
6	-24922022.7391851284	-24922001.9815329947	1293.3476
7	-24921985.5832203254	-24921840.1925975829	1290.1618
8	-24921984.8823108189	-24921984.8688346595	1288.9106
9	-24921984.6839971319	-24921984.6057467423	1275.2724
10	-24921984.5412560962	-24921984.1746188588	1270.6148
11	-24921984.5396276526	-24921984.5396088585	1270.6723
12	-24921984.5374782383	-24921984.5463462658	1268.0638
13	-24921984.5334980376	-24921984.5421511494	1281.6262
14	-24921984.5330743976	-24921984.5330239348	1291.2743
15	-24921984.5329458937	-24921984.5328899436	1285.9501
16	-24921984.5328060575	-24921984.5345315784	1289.3256
17	-24921984.5328086726	-24921984.5328086242	1268.8932

=== Aitken Acceleration Events ===
Iter	Lambda	Accel_Factor	Applied
3	0.31607725	1.16972275	yes
6	0.56392159	1.83453246	yes
9	0.50793472	1.62580053	yes
12	0.53653664	1.72613431	yes
15	0.51466619	1.64835003	yes
