# EM Convergence Results
# Aitken acceleration: enabled
# Aitken damping: 0.8
# Converged: yes
# Total iterations: 17
# Total time (ms): 21638.43
# Final LL: -24921984.5328086764

=== Iteration Data ===
Iter	LL	Aitken_LL_Est	Time_ms
1	-25075245.8440186940	-25075245.8440186940	1238.1280
2	-24931755.5606291555	-24931755.5606291555	1229.6118
3	-24924706.7941584289	-24924342.6446687356	1207.7858
4	-24922220.8886338808	-24920866.5352249406	1203.1082
5	-24922069.3907122575	-24922059.5588301867	1202.9651
6	-24922022.7391851284	-24922001.9815330021	1272.8381
7	-24921985.5832203291	-24921840.1925976165	1301.6866
8	-24921984.8823108226	-24921984.8688346632	1307.1672
9	-24921984.6839971356	-24921984.6057467461	1306.8790
10	-24921984.5412560962	-24921984.1746188179	1315.6872
11	-24921984.5396276601	-24921984.5396088697	1293.8549
12	-24921984.5374782421	-24921984.5463461094	1290.2385
13	-24921984.5334980376	-24921984.5421511643	1293.6482
14	-24921984.5330743976	-24921984.5330239348	1295.3849
15	-24921984.5329458900	-24921984.5328899361	1294.5745
16	-24921984.5328060538	-24921984.5345321409	1289.6042
17	-24921984.5328086764	-24921984.5328086279	1294.6030

=== Aitken Acceleration Events ===
Iter	Lambda	Accel_Factor	Applied
3	0.31607725	1.16972275	yes
6	0.56392159	1.83453246	yes
9	0.50793472	1.62580053	yes
12	0.53653664	1.72613431	yes
15	0.51466619	1.64835004	yes
