# EM Convergence Results
# Aitken acceleration: enabled
# Aitken damping: 0.8
# Converged: yes
# Total iterations: 17
# Total time (ms): 20718.45
# Final LL: -24921984.5328086764

=== Iteration Data ===
Iter	LL	Aitken_LL_Est	Time_ms
1	-25075245.8440186940	-25075245.8440186940	1197.7976
2	-24931755.5606291555	-24931755.5606291555	1196.2526
3	-24924706.7941584252	-24924342.6446687318	1216.4566
4	-24922220.8886338733	-24920866.5352249295	1207.5512
5	-24922069.3907122575	-24922059.5588301867	1227.6898
6	-24922022.7391851321	-24922001.9815330096	1248.6861
7	-24921985.5832203366	-24921840.1925976500	1200.7559
8	-24921984.8823108226	-24921984.8688346632	1223.1640
9	-24921984.6839971356	-24921984.6057467461	1235.1838
10	-24921984.5412560888	-24921984.1746187210	1230.8715
11	-24921984.5396276563	-24921984.5396088660	1196.1904
12	-24921984.5374782458	-24921984.5463461131	1196.2614
13	-24921984.5334980339	-24921984.5421511233	1197.6247
14	-24921984.5330744013	-24921984.5330239423	1243.1725
15	-24921984.5329458974	-24921984.5328899436	1235.7828
16	-24921984.5328060575	-24921984.5345311016	1240.2837
17	-24921984.5328086764	-24921984.5328086279	1224.1774

=== Aitken Acceleration Events ===
Iter	Lambda	Accel_Factor	Applied
3	0.31607725	1.16972275	yes
6	0.56392159	1.83453246	yes
9	0.50793472	1.62580053	yes
12	0.53653664	1.72613431	yes
15	0.51466619	1.64835004	yes
