# EM Convergence Results
# Aitken acceleration: enabled
# Aitken damping: 0.8
# Converged: yes
# Total iterations: 17
# Total time (ms): 21158.93
# Final LL: -24921984.5328086764

=== Iteration Data ===
Iter	LL	Aitken_LL_Est	Time_ms
1	-25075245.8440186940	-25075245.8440186940	1227.1474
2	-24931755.5606291555	-24931755.5606291555	1200.6758
3	-24924706.7941584289	-24924342.6446687356	1212.4030
4	-24922220.8886338882	-24920866.5352249593	1291.7689
5	-24922069.3907122575	-24922059.5588301867	1263.6101
6	-24922022.7391851284	-24922001.9815330058	1200.8692
7	-24921985.5832203254	-24921840.1925975271	1213.2212
8	-24921984.8823108263	-24921984.8688346669	1206.8023
9	-24921984.6839971319	-24921984.6057467349	1249.6382
10	-24921984.5412560925	-24921984.1746188626	1246.9026
11	-24921984.5396276601	-24921984.5396088697	1292.7640
12	-24921984.5374782421	-24921984.5463460460	1244.9718
13	-24921984.5334980339	-24921984.5421511605	1245.7222
14	-24921984.5330743901	-24921984.5330239274	1253.8919
15	-24921984.5329458974	-24921984.5328899585	1249.6359
16	-24921984.5328060500	-24921984.5345284492	1279.4295
17	-24921984.5328086764	-24921984.5328086279	1278.8003

=== Aitken Acceleration Events ===
Iter	Lambda	Accel_Factor	Applied
3	0.31607725	1.16972275	yes
6	0.56392159	1.83453246	yes
9	0.50793472	1.62580053	yes
12	0.53653664	1.72613431	yes
15	0.51466619	1.64835004	yes
