# EM Convergence Results
# Aitken acceleration: enabled
# Aitken damping: 0.8
# Converged: yes
# Total iterations: 17
# Total time (ms): 21697.59
# Final LL: -24921984.5328086801

=== Iteration Data ===
Iter	LL	Aitken_LL_Est	Time_ms
1	-25075245.8440186940	-25075245.8440186940	1260.5987
2	-24931755.5606291555	-24931755.5606291555	1260.5821
3	-24924706.7941584289	-24924342.6446687356	1274.5931
4	-24922220.8886338733	-24920866.5352249220	1280.2706
5	-24922069.3907122575	-24922059.5588301867	1276.7235
6	-24922022.7391851321	-24922001.9815330096	1278.6993
7	-24921985.5832203291	-24921840.1925974712	1265.8986
8	-24921984.8823108226	-24921984.8688346632	1260.7883
9	-24921984.6839971319	-24921984.6057467386	1259.5910
10	-24921984.5412560888	-24921984.1746187918	1261.0942
11	-24921984.5396276526	-24921984.5396088623	1273.4045
12	-24921984.5374782421	-24921984.5463461727	1280.4328
13	-24921984.5334980339	-24921984.5421511233	1278.8944
14	-24921984.5330744013	-24921984.5330239423	1276.7365
15	-24921984.5329458900	-24921984.5328899287	1264.6726
16	-24921984.5328060575	-24921984.5345331877	1316.6427
17	-24921984.5328086801	-24921984.5328086317	1327.4165

=== Aitken Acceleration Events ===
Iter	Lambda	Accel_Factor	Applied
3	0.31607725	1.16972275	yes
6	0.56392159	1.83453246	yes
9	0.50793472	1.62580053	yes
12	0.53653664	1.72613431	yes
15	0.51466619	1.64835003	yes
