=== Log-Likelihood Precision Test ===
Number of trials: 10
Random seed: 42

Loading data...
F81 mu is 1.34314
Loaded: 38 taxa, 73 edges, 6736 patterns
Root probs: [0.287712, 0.191584, 0.245721, 0.274983]
Allocating GPU memory...
  Post order size: 73
  Node edges size: 73
  Root edges: 3
  Allocating basic arrays...
  Allocating pattern bases...
  Allocating upward messages (0.0157353 GB)...
  Allocating upward scales...
  Allocating downward messages...
  Allocating downward scales...
  GPU memory allocation complete.
Copying data to GPU...
  post_order...
  edge_child...
  edge_parent...
  node_is_leaf (size=74)...
  leaf_taxon (size=74)...
  pattern_bases (size=255968, expect=255968)...
  trans_flat...
  weights...
  root_probs...
  node_nch...
  node_off...
  node_edges...
  root_edges...
Data copy complete.
Running 1000 GPU timing trials...

=== GPU Timing Results (1000 trials) ===
Forward pass (Pruning):
  Average: 1.170 ms
  Std Dev: 6.6193e-02 ms
  Range:   1.140 to 2.914 ms

Backward pass:
  Average: 1.578 ms
  Std Dev: 4.3950e-02 ms
  Range:   1.507 to 1.782 ms

Propagation / Pruning time ratio:
  Average: 2.349321
  Std Dev: 3.0560e-02
  Range:   1.609620 to 2.418979

=== Timing Ratio Distribution ===
Trial     Fwd_ms        Bwd_ms        Ratio
  143      1.150976      1.534752      2.333436
  144      1.169952      1.548288      2.323377
  145      1.160448      1.553088      2.338352
  146      1.147904      1.540096      2.341659
  147      1.178720      1.572704      2.334247
  148      1.158720      1.552192      2.339575
  149      1.155936      1.531904      2.325250
  150      1.152448      1.563744      2.356889
  151      1.160096      1.574912      2.357570
  152      1.157376      1.555072      2.343619
  153      1.154048      1.575680      2.365350
  154      1.158080      1.558016      2.345344
  155      1.154048      1.568768      2.359361
  156      1.146944      1.572576      2.371101
  157      1.152800      1.550336      2.344844
  158      1.165696      1.559136      2.337515
  159      1.145472      1.549312      2.352553
  160      1.178624      1.507328      2.278888
  161      1.160192      1.570592      2.353734
  162      1.158432      1.578688      2.362780
  163      1.173216      1.568768      2.337152
  164      1.157120      1.574912      2.361062
  165      1.154976      1.580800      2.368686
  166      1.147904      1.569792      2.367529
  167      1.170656      1.581664      2.351092
  168      1.152768      1.538048      2.334222
  169      1.146880      1.569312      2.368331
  170      1.159168      1.569792      2.354240
  171      1.146688      1.549120      2.350952
  172      1.157888      1.571712      2.357395
  173      1.164000      1.570400      2.349141
  174      1.159712      1.583104      2.365084
  175      1.168384      1.541120      2.319019
  176      1.149952      1.573728      2.368516
  177      1.157120      1.573888      2.360177
  178      1.146400      1.543552      2.346434
  179      1.153024      1.562624      2.355240
  180      1.147904      1.563648      2.362177
  181      1.153024      1.579840      2.370171
  182      1.145856      1.559552      2.361037
  183      1.154048      1.541120      2.335404
  184      1.147904      1.568768      2.366637
  185      1.156096      1.569344      2.357451
  186      1.156064      1.594880      2.379578
  187      1.154176      1.572864      2.362759
  188      1.151328      1.549312      2.345674
  189      1.160800      1.555456      2.339986
  190      1.163744      1.581056      2.358594
  191      1.147904      1.563648      2.362177
  192      1.156096      1.564672      2.353410
  193      1.145856      1.580896      2.379664
  194      1.154944      1.567648      2.357337
  195      1.152736      1.534976      2.331594
  196      1.152928      1.574624      2.365761
  197      1.150880      1.583104      2.375560
  198      1.152000      1.580928      2.372333
  199      1.159168      1.576960      2.360424
  200      1.150816      1.558336      2.354114
  201      1.175552      1.549312      2.317944
  202      1.153696      1.566720      2.358001
  203      1.164256      1.564672      2.343925
  204      1.152000      1.579808      2.371361
  205      1.156928      1.541856      2.332716
  206      1.157888      1.549984      2.338630
  207      1.147904      1.588192      2.383558
  208      1.156096      1.581696      2.368135
  209      1.157184      1.572416      2.358830
  210      1.150976      1.509376      2.311388
  211      1.161216      1.613824      2.389771
  212      1.154048      1.572544      2.362633
  213      1.139712      1.517568      2.331536
  214      1.163936      1.566784      2.346108
  215      1.154720      1.529856      2.324872
  216      1.168320      1.575936      2.348891
  217      1.165312      1.553280      2.332931
  218      1.149696      1.567744      2.363616
  219      1.163040      1.561536      2.342633
  220      1.156096      1.559552      2.348981
  221      1.151040      1.563200      2.358076
  222      1.155936      1.569792      2.358027
  223      1.154752      1.564256      2.354625
  224      1.161216      1.561600      2.344797
  225      1.152224      1.579712      2.371011
  226      1.145632      1.570464      2.370827
  227      1.150976      1.520640      2.321175
  228      1.158080      1.574816      2.359851
  229      1.155872      1.558528      2.348357
  230      1.159648      1.563136      2.347940
  231      1.164416      1.559360      2.339178
  232      1.159168      1.560576      2.346290
  233      1.143616      1.559552      2.363703
  234      1.158144      1.586816      2.370137
  235      1.155840      1.577984      2.365227
  236      1.162240      1.539072      2.324229
  237      1.149952      1.566336      2.362088
  238      1.155872      1.577984      2.365189
  239      1.157952      1.557504      2.345051
  240      1.155040      1.589888      2.376479
  241      1.157824      1.572864      2.358465
  242      1.173504      1.588224      2.353403
  243      1.149952      1.562080      2.358387
  244      1.162240      1.555168      2.338078
  245      1.150976      1.572864      2.366548
  246      1.155072      1.548288      2.340426
  247      1.152000      1.584032      2.375028
  248      1.155072      1.571840      2.360816
  249      1.154048      1.579360      2.368539
  250      1.169088      1.569792      2.342749
  251      1.153664      1.566720      2.358038
  252      1.160192      1.524064      2.313631
  253      1.154048      1.570816      2.361136
  254      1.160864      1.564672      2.347851
  255      1.171200      1.541920      2.316530
  256      1.165856      1.580032      2.355255
  257      1.162240      1.564640      2.346228
  258      1.172480      1.549312      2.321397
  259      1.163104      1.574432      2.353647
  260      1.157120      1.571456      2.358075
  261      1.171456      1.548864      2.322170
  262      1.170656      1.565472      2.337260
  263      1.145952      1.565600      2.366200
  264      1.154848      1.580032      2.368173
  265      1.156800      1.581600      2.367220
  266      1.154048      1.562464      2.353899
  267      1.157120      1.555456      2.344248
  268      1.166336      1.563648      2.340650
  269      1.173472      1.555200      2.325298
  270      1.163936      1.586176      2.362769
  271      1.147296      1.567328      2.366106
  272      1.156096      1.559552      2.348981
  273      1.147584      1.568768      2.367018
  274      1.149952      1.553408      2.350846
  275      1.149952      1.541216      2.340244
  276      1.162112      1.568704      2.349873
  277      1.158976      1.576800      2.360511
  278      1.149760      1.578880      2.373226
  279      1.159904      1.557504      2.342787
  280      1.148928      1.554432      2.352941
  281      1.177600      1.576832      2.339022
  282      1.162624      1.540640      2.325140
  283      1.159168      1.568768      2.353357
  284      1.165280      1.571712      2.348785
  285      1.152832      1.557216      2.350775
  286      1.154848      1.569792      2.359306
  287      1.155680      1.554208      2.344843
  288      1.154528      1.556000      2.347737
  289      1.159168      1.576800      2.360286
  290      1.155072      1.588256      2.375028
  291      1.168384      1.589248      2.360210
  292      1.156000      1.580032      2.366810
  293      1.167360      1.531904      2.312281
  294      1.158144      1.579008      2.363395
  295      1.185632      1.569632      2.323878
  296      1.175296      1.552768      2.321172
  297      1.163872      1.587200      2.363724
  298      1.162208      1.573888      2.354222
  299      1.168384      1.558272      2.333699
  300      1.162240      1.577120      2.356966
  301      1.163584      1.561600      2.342060
  302      1.158144      1.551904      2.339992
  303      1.147904      1.578592      2.375195
  304      1.158144      1.553408      2.341291
  305      1.151904      1.532640      2.330528
  306      1.164256      1.589248      2.365033
  307      1.152608      1.547584      2.342680
  308      1.171296      1.575808      2.345354
  309      1.140736      1.574912      2.380610
  310      1.160192      1.546240      2.332745
  311      1.145856      1.564672      2.365505
  312      1.150624      1.582848      2.375643
  313      1.157920      1.579008      2.363659
  314      1.159136      1.592320      2.373713
  315      1.145568      1.581408      2.380457
  316      1.153632      1.571840      2.362514
  317      1.159168      1.560544      2.346262
  318      1.162304      1.577984      2.357634
  319      1.171200      1.580608      2.349563
  320      1.177280      1.574912      2.337755
  321      1.160768      1.582816      2.363594
  322      1.154016      1.570528      2.360924
  323      1.164576      1.583104      2.359382
  324      1.158144      1.565696      2.351901
  325      1.151744      1.574880      2.367387
  326      1.164256      1.554080      2.334827
  327      1.161952      1.575936      2.356283
  328      1.149504      1.557504      2.354936
  329      1.164288      1.562624      2.342128
  330      1.160192      1.564672      2.348632
  331      1.155072      1.570976      2.360068
  332      1.158496      1.534656      2.324697
  333      1.153888      1.542144      2.336476
  334      1.157888      1.575936      2.361043
  335      1.165248      1.572448      2.349454
  336      1.160192      1.575936      2.358341
  337      1.161216      1.589120      2.368497
  338      1.169216      1.582656      2.353605
  339      1.161920      1.541120      2.326357
  340      1.146880      1.580032      2.377679
  341      1.167360      1.581056      2.354386
  342      1.152000      1.600960      2.389722
  343      1.162880      1.564896      2.345707
  344      1.169152      1.562624      2.336545
  345      1.163264      1.576064      2.354863
  346      1.162240      1.529024      2.315584
  347      1.164128      1.585152      2.361665
  348      1.172320      1.573056      2.341832
  349      1.154720      1.569376      2.359097
  350      1.171456      1.570720      2.340827
  351      1.166336      1.581056      2.355575
  352      1.156096      1.576800      2.363900
  353      1.172160      1.604480      2.368823
  354      1.174336      1.546240      2.316693
  355      1.155072      1.522688      2.318263
  356      1.145856      1.525376      2.331211
  357      1.160192      1.527808      2.316858
  358      1.149952      1.520640      2.322351
  359      1.167360      1.565344      2.340927
  360      1.155072      1.588224      2.375000
  361      1.183744      1.574624      2.330207
  362      1.158144      1.562624      2.349248
  363      1.153024      1.579008      2.369449
  364      1.151104      1.556448      2.352135
  365      1.166336      1.621888      2.390584
  366      1.163904      1.608384      2.381887
  367      1.160960      1.579264      2.360309
  368      1.161216      1.572832      2.354470
  369      1.165312      1.574720      2.351329
  370      1.165312      1.578720      2.354761
  371      1.167360      1.556384      2.333251
  372      1.166336      1.551360      2.330114
  373      1.165312      1.540704      2.322139
  374      1.162112      1.532928      2.319088
  375      1.174528      1.556352      2.325087
  376      1.170432      1.581120      2.350886
  377      1.170112      1.566720      2.338949
  378      1.164288      1.551200      2.332316
  379      1.153760      1.581952      2.371128
  380      1.161216      1.568768      2.350970
  381      1.156096      1.584352      2.370433
  382      1.159840      1.582080      2.364050
  383      1.161952      1.548288      2.332489
